forecast_id,product_id,month,forecast_quantity,actual_quantity,mape,forecast_accuracy_status
FC0000053,PROD00375,2026-05,3930,3916,0.36,Acceptable
FC0000054,PROD00375,2026-06,3930,4210,6.65,Acceptable
FC0000055,PROD00156,2025-01,3045,2715,12.15,Acceptable
FC0000056,PROD00156,2025-02,3045,2641,15.3,Acceptable
FC0000057,PROD00156,2025-03,3045,3023,0.73,Acceptable
FC0000058,PROD00156,2025-04,3045,3082,1.2,Acceptable
FC0000059,PROD00156,2025-05,3045,4483,32.08,High Error
FC0000060,PROD00156,2025-06,3045,2874,5.95,Acceptable
FC0000061,PROD00156,2025-07,3045,3067,0.72,Acceptable
FC0000062,PROD00156,2025-08,3045,3242,6.08,Acceptable
FC0000063,PROD00156,2025-09,3045,2709,12.4,Acceptable
FC0000064,PROD00156,2025-10,3045,3242,6.08,Acceptable
FC0000065,PROD00156,2025-11,3045,3346,9.0,Acceptable
FC0000066,PROD00156,2025-12,3045,3193,4.64,Acceptable
FC0000067,PROD00156,2026-01,3045,3379,9.88,Acceptable
FC0000068,PROD00156,2026-02,3045,3112,2.15,Acceptable
FC0000069,PROD00156,2026-03,3045,2838,7.29,Acceptable
FC0000070,PROD00156,2026-04,3045,3344,8.94,Acceptable
FC0000071,PROD00156,2026-05,3045,3073,0.91,Acceptable
FC0000072,PROD00156,2026-06,3045,3065,0.65,Acceptable
FC0000073,PROD00105,2025-01,2805,2520,11.31,Acceptable
FC0000074,PROD00105,2025-02,2805,4004,29.95,High Error
FC0000075,PROD00105,2025-03,2805,2680,4.66,Acceptable
FC0000076,PROD00105,2025-04,2805,3009,6.78,Acceptable
FC0000077,PROD00105,2025-05,2805,2876,2.47,Acceptable
FC0000078,PROD00105,2025-06,2805,2632,6.57,Acceptable
FC0000079,PROD00105,2025-07,2805,2764,1.48,Acceptable
FC0000080,PROD00105,2025-08,2805,2532,10.78,Acceptable
FC0000081,PROD00105,2025-09,2805,2980,5.87,Acceptable
FC0000082,PROD00105,2025-10,2805,2977,5.78,Acceptable
FC0000083,PROD00105,2025-11,2805,2572,9.06,Acceptable
FC0000084,PROD00105,2025-12,2805,3150,10.95,Acceptable
FC0000085,PROD00105,2026-01,2805,2796,0.32,Acceptable
FC0000086,PROD00105,2026-02,2805,2802,0.11,Acceptable
FC0000087,PROD00105,2026-03,2805,3110,9.81,Acceptable
FC0000088,PROD00105,2026-04,2805,2639,6.29,Acceptable
FC0000089,PROD00105,2026-05,2805,2895,3.11,Acceptable
FC0000090,PROD00105,2026-06,2805,3487,19.56,Acceptable
FC0000091,PROD00395,2025-01,3963,4275,7.3,Acceptable
FC0000092,PROD00395,2025-02,3963,5303,25.27,High Error
FC0000093,PROD00395,2025-03,3963,3699,7.14,Acceptable
FC0000094,PROD00395,2025-04,3963,3867,2.48,Acceptable
FC0000095,PROD00395,2025-05,3963,4131,4.07,Acceptable
FC0000096,PROD00395,2025-06,3963,4078,2.82,Acceptable
FC0000097,PROD00395,2025-07,3963,3687,7.49,Acceptable
FC0000098,PROD00395,2025-08,3963,3876,2.24,Acceptable
FC0000099,PROD00395,2025-09,3963,4087,3.03,Acceptable
FC0000100,PROD00395,2025-10,3963,4246,6.67,Acceptable
FC0000101,PROD00395,2025-11,3963,3762,5.34,Acceptable
FC0000102,PROD00395,2025-12,3963,5325,25.58,High Error
FC0000103,PROD00395,2026-01,3963,3754,5.57,Acceptable
FC0000104,PROD00395,2026-02,3963,3666,8.1,Acceptable
FC0000105,PROD00395,2026-03,3963,4300,7.84,Acceptable
FC0000106,PROD00395,2026-04,3963,3888,1.93,Acceptable
FC0000107,PROD00395,2026-05,3963,3972,0.23,Acceptable
FC0000108,PROD00395,2026-06,3963,2706,46.45,High Error
FC0000109,PROD00378,2025-01,3789,4116,7.94,Acceptable
FC0000110,PROD00378,2025-02,3789,3880,2.35,Acceptable
FC0000111,PROD00378,2025-03,3789,4845,21.8,High Error
FC0000112,PROD00378,2025-04,3789,3796,0.18,Acceptable
FC0000113,PROD00378,2025-05,3789,3904,2.95,Acceptable
FC0000114,PROD00378,2025-06,3789,3889,2.57,Acceptable
FC0000115,PROD00378,2025-07,3789,3683,2.88,Acceptable
FC0000116,PROD00378,2025-08,3789,3676,3.07,Acceptable
FC0000117,PROD00378,2025-09,3789,4480,15.42,Acceptable
FC0000118,PROD00378,2025-10,3789,3755,0.91,Acceptable
FC0000119,PROD00378,2025-11,3789,4049,6.42,Acceptable
FC0000120,PROD00378,2025-12,3789,3716,1.96,Acceptable
FC0000121,PROD00378,2026-01,3789,3569,6.16,Acceptable
FC0000122,PROD00378,2026-02,3789,3767,0.58,Acceptable
FC0000123,PROD00378,2026-03,3789,3456,9.64,Acceptable
FC0000124,PROD00378,2026-04,3789,2964,27.83,High Error
FC0000125,PROD00378,2026-05,3789,3654,3.69,Acceptable
FC0000126,PROD00378,2026-06,3789,3742,1.26,Acceptable
FC0000127,PROD00125,2025-01,891,1114,20.02,High Error
FC0000128,PROD00125,2025-02,891,556,60.25,High Error
FC0000129,PROD00125,2025-03,891,891,0.0,Acceptable
FC0000130,PROD00125,2025-04,891,1136,21.57,High Error
FC0000131,PROD00125,2025-05,891,0,0.0,Acceptable
FC0000132,PROD00125,2025-06,891,819,8.79,Acceptable
FC0000133,PROD00125,2025-07,891,1188,25.0,High Error
FC0000134,PROD00125,2025-08,891,731,21.89,High Error
FC0000135,PROD00125,2025-09,891,703,26.74,High Error
FC0000136,PROD00125,2025-10,891,686,29.88,High Error
FC0000137,PROD00125,2025-11,891,746,19.44,Acceptable
FC0000138,PROD00125,2025-12,891,917,2.84,Acceptable
FC0000139,PROD00125,2026-01,891,932,4.4,Acceptable
FC0000140,PROD00125,2026-02,891,1058,15.78,Acceptable
FC0000141,PROD00125,2026-03,891,1050,15.14,Acceptable
FC0000142,PROD00125,2026-04,891,894,0.34,Acceptable
FC0000143,PROD00125,2026-05,891,994,10.36,Acceptable
FC0000144,PROD00125,2026-06,891,765,16.47,Acceptable
FC0000145,PROD00069,2025-01,2379,2645,10.06,Acceptable
FC0000146,PROD00069,2025-02,2379,2325,2.32,Acceptable
FC0000147,PROD00069,2025-03,2379,2059,15.54,Acceptable
FC0000148,PROD00069,2025-04,2379,2388,0.38,Acceptable
FC0000149,PROD00069,2025-05,2379,3088,22.96,High Error
FC0000150,PROD00069,2025-06,2379,2390,0.46,Acceptable
FC0000151,PROD00069,2025-07,2379,2589,8.11,Acceptable
FC0000152,PROD00069,2025-08,2379,2220,7.16,Acceptable
FC0000153,PROD00069,2025-09,2379,2571,7.47,Acceptable
FC0000154,PROD00069,2025-10,2379,2044,16.39,Acceptable
FC0000155,PROD00069,2025-11,2379,2608,8.78,Acceptable
FC0000156,PROD00069,2025-12,2379,2213,7.5,Acceptable
FC0000157,PROD00069,2026-01,2379,2550,6.71,Acceptable
FC0000158,PROD00069,2026-02,2379,2485,4.27,Acceptable
FC0000159,PROD00069,2026-03,2379,2041,16.56,Acceptable
FC0000160,PROD00069,2026-04,2379,2101,13.23,Acceptable
FC0000161,PROD00069,2026-05,2379,2604,8.64,Acceptable
FC0000162,PROD00069,2026-06,2379,2399,0.83,Acceptable
FC0000163,PROD00451,2025-01,4781,5081,5.9,Acceptable
FC0000164,PROD00451,2025-02,4781,4449,7.46,Acceptable
FC0000165,PROD00451,2025-03,4781,4730,1.08,Acceptable
FC0000166,PROD00451,2025-04,4781,4860,1.63,Acceptable
FC0000167,PROD00451,2025-05,4781,4758,0.48,Acceptable
FC0000168,PROD00451,2025-06,4781,4817,0.75,Acceptable
FC0000169,PROD00451,2025-07,4781,4434,7.83,Acceptable
FC0000170,PROD00451,2025-08,4781,4591,4.14,Acceptable
FC0000171,PROD00451,2025-09,4781,4978,3.96,Acceptable
FC0000172,PROD00451,2025-10,4781,4950,3.41,Acceptable
FC0000173,PROD00451,2025-11,4781,4963,3.67,Acceptable
FC0000174,PROD00451,2025-12,4781,4767,0.29,Acceptable
FC0000175,PROD00451,2026-01,4781,5655,15.46,Acceptable
FC0000176,PROD00451,2026-02,4781,4463,7.13,Acceptable
FC0000177,PROD00451,2026-03,4781,4466,7.05,Acceptable
FC0000178,PROD00451,2026-04,4781,5109,6.42,Acceptable
FC0000179,PROD00451,2026-05,4781,4477,6.79,Acceptable
FC0000180,PROD00451,2026-06,4781,5030,4.95,Acceptable
FC0000181,PROD00010,2025-01,884,828,6.76,Acceptable
FC0000182,PROD00010,2025-02,884,555,59.28,High Error
FC0000183,PROD00010,2025-03,884,799,10.64,Acceptable
FC0000184,PROD00010,2025-04,884,791,11.76,Acceptable
FC0000185,PROD00010,2025-05,884,1040,15.0,Acceptable
FC0000186,PROD00010,2025-06,884,705,25.39,High Error
FC0000187,PROD00010,2025-07,884,604,46.36,High Error
FC0000188,PROD00010,2025-08,884,795,11.19,Acceptable
FC0000189,PROD00010,2025-09,884,809,9.27,Acceptable
FC0000190,PROD00010,2025-10,884,1340,34.03,High Error
FC0000191,PROD00010,2025-11,884,637,38.78,High Error
FC0000192,PROD00010,2025-12,884,616,43.51,High Error
FC0000193,PROD00010,2026-01,884,1202,26.46,High Error
FC0000194,PROD00010,2026-02,884,1222,27.66,High Error
FC0000195,PROD00010,2026-03,884,0,0.0,Acceptable
FC0000196,PROD00010,2026-04,884,734,20.44,High Error
FC0000197,PROD00010,2026-05,884,1034,14.51,Acceptable
FC0000198,PROD00010,2026-06,884,1159,23.73,High Error
FC0000199,PROD00195,2025-01,1089,1372,20.63,High Error
FC0000200,PROD00195,2025-02,1089,997,9.23,Acceptable
FC0000201,PROD00195,2025-03,1089,1182,7.87,Acceptable
FC0000202,PROD00195,2025-04,1089,2204,50.59,High Error
FC0000203,PROD00195,2025-05,1089,1140,4.47,Acceptable
FC0000204,PROD00195,2025-06,1089,1169,6.84,Acceptable
FC0000205,PROD00195,2025-07,1089,806,35.11,High Error
FC0000206,PROD00195,2025-08,1089,1239,12.11,Acceptable
FC0000207,PROD00195,2025-09,1089,964,12.97,Acceptable
FC0000208,PROD00195,2025-10,1089,1192,8.64,Acceptable
FC0000209,PROD00195,2025-11,1089,1114,2.24,Acceptable
FC0000210,PROD00195,2025-12,1089,2460,55.73,High Error
FC0000211,PROD00195,2026-01,1089,1295,15.91,Acceptable
FC0000212,PROD00195,2026-02,1089,936,16.35,Acceptable
FC0000213,PROD00195,2026-03,1089,0,0.0,Acceptable
FC0000214,PROD00195,2026-04,1089,1171,7.0,Acceptable
FC0000215,PROD00195,2026-05,1089,1738,37.34,High Error
FC0000216,PROD00195,2026-06,1089,831,31.05,High Error
FC0000217,PROD00407,2025-01,3207,3439,6.75,Acceptable
FC0000218,PROD00407,2025-02,3207,2917,9.94,Acceptable
FC0000219,PROD00407,2025-03,3207,3361,4.58,Acceptable
FC0000220,PROD00407,2025-04,3207,3249,1.29,Acceptable
FC0000221,PROD00407,2025-05,3207,3131,2.43,Acceptable
FC0000222,PROD00407,2025-06,3207,2895,10.78,Acceptable
FC0000223,PROD00407,2025-07,3207,2881,11.32,Acceptable
FC0000224,PROD00407,2025-08,3207,3008,6.62,Acceptable
FC0000225,PROD00407,2025-09,3207,3536,9.3,Acceptable
FC0000226,PROD00407,2025-10,3207,3264,1.75,Acceptable
FC0000227,PROD00407,2025-11,3207,3074,4.33,Acceptable
FC0000228,PROD00407,2025-12,3207,2938,9.16,Acceptable
FC0000229,PROD00407,2026-01,3207,3115,2.95,Acceptable
FC0000230,PROD00407,2026-02,3207,3342,4.04,Acceptable
FC0000231,PROD00407,2026-03,3207,3266,1.81,Acceptable
FC0000232,PROD00407,2026-04,3207,3318,3.35,Acceptable
FC0000233,PROD00407,2026-05,3207,3567,10.09,Acceptable
FC0000234,PROD00407,2026-06,3207,3099,3.48,Acceptable
FC0000235,PROD00085,2025-01,4525,4716,4.05,Acceptable
FC0000236,PROD00085,2025-02,4525,4808,5.89,Acceptable
FC0000237,PROD00085,2025-03,4525,4436,2.01,Acceptable
FC0000238,PROD00085,2025-04,4525,3507,29.03,High Error
FC0000239,PROD00085,2025-05,4525,4905,7.75,Acceptable
FC0000240,PROD00085,2025-06,4525,4797,5.67,Acceptable
FC0000241,PROD00085,2025-07,4525,5731,21.04,High Error
FC0000242,PROD00085,2025-08,4525,4810,5.93,Acceptable
FC0000243,PROD00085,2025-09,4525,4720,4.13,Acceptable
FC0000244,PROD00085,2025-10,4525,4282,5.67,Acceptable
FC0000245,PROD00085,2025-11,4525,4642,2.52,Acceptable
FC0000246,PROD00085,2025-12,4525,4437,1.98,Acceptable
FC0000247,PROD00085,2026-01,4525,4452,1.64,Acceptable
FC0000248,PROD00085,2026-02,4525,4869,7.07,Acceptable
FC0000249,PROD00085,2026-03,4525,4513,0.27,Acceptable
FC0000250,PROD00085,2026-04,4525,4554,0.64,Acceptable
FC0000251,PROD00085,2026-05,4525,4548,0.51,Acceptable
FC0000252,PROD00085,2026-06,4525,4196,7.84,Acceptable
FC0000253,PROD00372,2025-01,2345,2225,5.39,Acceptable
FC0000254,PROD00372,2025-02,2345,2467,4.95,Acceptable
FC0000255,PROD00372,2025-03,2345,2322,0.99,Acceptable
FC0000256,PROD00372,2025-04,2345,2281,2.81,Acceptable
FC0000257,PROD00372,2025-05,2345,2612,10.22,Acceptable
FC0000258,PROD00372,2025-06,2345,2016,16.32,Acceptable
FC0000259,PROD00372,2025-07,2345,2627,10.73,Acceptable
FC0000260,PROD00372,2025-08,2345,2592,9.53,Acceptable
FC0000261,PROD00372,2025-09,2345,2217,5.77,Acceptable
FC0000262,PROD00372,2025-10,2345,2489,5.79,Acceptable
FC0000263,PROD00372,2025-11,3551,3612,1.69,Acceptable
FC0000264,PROD00372,2025-12,3299,2993,10.22,Acceptable
FC0000265,PROD00372,2026-01,2345,2290,2.4,Acceptable
FC0000266,PROD00372,2026-02,2345,2214,5.92,Acceptable
FC0000267,PROD00372,2026-03,2345,2212,6.01,Acceptable
FC0000268,PROD00372,2026-04,2345,3351,30.02,High Error
FC0000269,PROD00372,2026-05,2345,2173,7.92,Acceptable
FC0000270,PROD00372,2026-06,2345,2741,14.45,Acceptable
FC0000271,PROD00389,2025-01,764,0,0.0,Acceptable
FC0000272,PROD00389,2025-02,764,893,14.45,Acceptable
FC0000273,PROD00389,2025-03,764,682,12.02,Acceptable
FC0000274,PROD00389,2025-04,764,621,23.03,High Error
FC0000275,PROD00389,2025-05,764,1044,26.82,High Error
FC0000276,PROD00389,2025-06,764,711,7.45,Acceptable
FC0000277,PROD00389,2025-07,764,505,51.29,High Error
FC0000278,PROD00389,2025-08,764,629,21.46,High Error
FC0000279,PROD00389,2025-09,764,763,0.13,Acceptable
FC0000280,PROD00389,2025-10,764,1193,35.96,High Error
FC0000281,PROD00389,2025-11,764,558,36.92,High Error
FC0000282,PROD00389,2025-12,764,1063,28.13,High Error
FC0000283,PROD00389,2026-01,764,611,25.04,High Error
FC0000284,PROD00389,2026-02,764,771,0.91,Acceptable
FC0000285,PROD00389,2026-03,764,505,51.29,High Error
FC0000286,PROD00389,2026-04,764,593,28.84,High Error
FC0000287,PROD00389,2026-05,764,644,18.63,Acceptable
FC0000288,PROD00389,2026-06,764,443,72.46,High Error
FC0000289,PROD00496,2025-01,4957,4661,6.35,Acceptable
FC0000290,PROD00496,2025-02,4957,4871,1.77,Acceptable
FC0000291,PROD00496,2025-03,4957,5259,5.74,Acceptable
FC0000292,PROD00496,2025-04,4957,4620,7.29,Acceptable
FC0000293,PROD00496,2025-05,4957,5134,3.45,Acceptable
FC0000294,PROD00496,2025-06,4957,4687,5.76,Acceptable
FC0000295,PROD00496,2025-07,4957,4961,0.08,Acceptable
FC0000296,PROD00496,2025-08,4957,4916,0.83,Acceptable
FC0000297,PROD00496,2025-09,4957,4844,2.33,Acceptable
FC0000298,PROD00496,2025-10,4957,4761,4.12,Acceptable
FC0000299,PROD00496,2025-11,7885,8030,1.81,Acceptable
FC0000300,PROD00496,2025-12,6510,6833,4.73,Acceptable
FC0000301,PROD00496,2026-01,4957,5114,3.07,Acceptable
FC0000302,PROD00496,2026-02,4957,4607,7.6,Acceptable
FC0000303,PROD00496,2026-03,4957,4704,5.38,Acceptable
FC0000304,PROD00496,2026-04,4957,5282,6.15,Acceptable
FC0000305,PROD00496,2026-05,4957,5032,1.49,Acceptable
FC0000306,PROD00496,2026-06,4957,4845,2.31,Acceptable
FC0000307,PROD00031,2025-01,3510,3377,3.94,Acceptable
FC0000308,PROD00031,2025-02,3510,3588,2.17,Acceptable
FC0000309,PROD00031,2025-03,3510,3829,8.33,Acceptable
FC0000310,PROD00031,2025-04,3510,3234,8.53,Acceptable
FC0000311,PROD00031,2025-05,3510,2036,72.4,High Error
FC0000312,PROD00031,2025-06,3510,3706,5.29,Acceptable
FC0000313,PROD00031,2025-07,3510,3820,8.12,Acceptable
FC0000314,PROD00031,2025-08,3510,3589,2.2,Acceptable
FC0000315,PROD00031,2025-09,3510,3474,1.04,Acceptable
FC0000316,PROD00031,2025-10,3510,3946,11.05,Acceptable
FC0000317,PROD00031,2025-11,5943,6214,4.36,Acceptable
FC0000318,PROD00031,2025-12,5861,6093,3.81,Acceptable
FC0000319,PROD00031,2026-01,3510,3811,7.9,Acceptable
FC0000320,PROD00031,2026-02,3510,3350,4.78,Acceptable
FC0000321,PROD00031,2026-03,3510,3485,0.72,Acceptable
FC0000322,PROD00031,2026-04,3510,3548,1.07,Acceptable
FC0000323,PROD00031,2026-05,3510,3743,6.22,Acceptable
FC0000324,PROD00031,2026-06,3510,3663,4.18,Acceptable
FC0000325,PROD00317,2025-01,4451,4327,2.87,Acceptable
FC0000326,PROD00317,2025-02,4451,4687,5.04,Acceptable
FC0000327,PROD00317,2025-03,4451,4498,1.04,Acceptable
FC0000328,PROD00317,2025-04,4451,4496,1.0,Acceptable
FC0000329,PROD00317,2025-05,4451,5921,24.83,High Error
FC0000330,PROD00317,2025-06,4451,4785,6.98,Acceptable
FC0000331,PROD00317,2025-07,4451,4773,6.75,Acceptable
FC0000332,PROD00317,2025-08,4451,4131,7.75,Acceptable
FC0000333,PROD00317,2025-09,4451,5721,22.2,High Error
FC0000334,PROD00317,2025-10,4451,4730,5.9,Acceptable
FC0000335,PROD00317,2025-11,4451,4762,6.53,Acceptable
FC0000336,PROD00317,2025-12,4451,4796,7.19,Acceptable
FC0000337,PROD00317,2026-01,4451,4762,6.53,Acceptable
FC0000338,PROD00317,2026-02,4451,4460,0.2,Acceptable
FC0000339,PROD00317,2026-03,4451,4200,5.98,Acceptable
FC0000340,PROD00317,2026-04,4451,4490,0.87,Acceptable
FC0000341,PROD00317,2026-05,4451,4747,6.24,Acceptable
FC0000342,PROD00317,2026-06,4451,4245,4.85,Acceptable
FC0000343,PROD00409,2025-01,2331,2088,11.64,Acceptable
FC0000344,PROD00409,2025-02,2331,2484,6.16,Acceptable
FC0000345,PROD00409,2025-03,2331,2586,9.86,Acceptable
FC0000346,PROD00409,2025-04,2331,2074,12.39,Acceptable
FC0000347,PROD00409,2025-05,2331,2638,11.64,Acceptable
FC0000348,PROD00409,2025-06,2331,2333,0.09,Acceptable
FC0000349,PROD00409,2025-07,2331,2625,11.2,Acceptable
FC0000350,PROD00409,2025-08,2331,2216,5.19,Acceptable
FC0000351,PROD00409,2025-09,2331,2498,6.69,Acceptable
FC0000352,PROD00409,2025-10,2331,2074,12.39,Acceptable
FC0000353,PROD00409,2025-11,2331,2680,13.02,Acceptable
FC0000354,PROD00409,2025-12,2331,2680,13.02,Acceptable
FC0000355,PROD00409,2026-01,2331,1998,16.67,Acceptable
FC0000356,PROD00409,2026-02,2331,2541,8.26,Acceptable
FC0000357,PROD00409,2026-03,2331,2502,6.83,Acceptable
FC0000358,PROD00409,2026-04,2331,3778,38.3,High Error
FC0000359,PROD00409,2026-05,2331,2399,2.83,Acceptable
FC0000360,PROD00409,2026-06,2331,2658,12.3,Acceptable
FC0000361,PROD00491,2025-01,2081,2939,29.19,High Error
FC0000362,PROD00491,2025-02,2081,2090,0.43,Acceptable
FC0000363,PROD00491,2025-03,2081,2385,12.75,Acceptable
FC0000364,PROD00491,2025-04,2081,2000,4.05,Acceptable
FC0000365,PROD00491,2025-05,2081,2011,3.48,Acceptable
FC0000366,PROD00491,2025-06,2081,1940,7.27,Acceptable
FC0000367,PROD00491,2025-07,2081,2060,1.02,Acceptable
FC0000368,PROD00491,2025-08,2081,1793,16.06,Acceptable
FC0000369,PROD00491,2025-09,2081,2265,8.12,Acceptable
FC0000370,PROD00491,2025-10,2081,2361,11.86,Acceptable
FC0000371,PROD00491,2025-11,2081,1985,4.84,Acceptable
FC0000372,PROD00491,2025-12,2081,1879,10.75,Acceptable
FC0000373,PROD00491,2026-01,2081,1997,4.21,Acceptable
FC0000374,PROD00491,2026-02,2081,2319,10.26,Acceptable
FC0000375,PROD00491,2026-03,2081,1878,10.81,Acceptable
FC0000376,PROD00491,2026-04,2081,2779,25.12,High Error
FC0000377,PROD00491,2026-05,2081,2028,2.61,Acceptable
FC0000378,PROD00491,2026-06,2081,2363,11.93,Acceptable
FC0000379,PROD00492,2025-01,3834,3792,1.11,Acceptable
FC0000380,PROD00492,2025-02,3834,4956,22.64,High Error
FC0000381,PROD00492,2025-03,3834,3884,1.29,Acceptable
FC0000382,PROD00492,2025-04,3834,3793,1.08,Acceptable
FC0000383,PROD00492,2025-05,3834,3508,9.29,Acceptable
FC0000384,PROD00492,2025-06,3834,4137,7.32,Acceptable
FC0000385,PROD00492,2025-07,3834,3827,0.18,Acceptable
FC0000386,PROD00492,2025-08,3834,5086,24.62,High Error
FC0000387,PROD00492,2025-09,3834,4087,6.19,Acceptable
FC0000388,PROD00492,2025-10,3834,3612,6.15,Acceptable
FC0000389,PROD00492,2025-11,3834,4022,4.67,Acceptable
FC0000390,PROD00492,2025-12,3834,3870,0.93,Acceptable
FC0000391,PROD00492,2026-01,3834,4286,10.55,Acceptable
FC0000392,PROD00492,2026-02,3834,3712,3.29,Acceptable
FC0000393,PROD00492,2026-03,3834,3100,23.68,High Error
FC0000394,PROD00492,2026-04,3834,3582,7.04,Acceptable
FC0000395,PROD00492,2026-05,3834,4629,17.17,Acceptable
FC0000396,PROD00492,2026-06,3834,3886,1.34,Acceptable
FC0000397,PROD00281,2025-01,3796,3453,9.93,Acceptable
FC0000398,PROD00281,2025-02,3796,3552,6.87,Acceptable
FC0000399,PROD00281,2025-03,3796,3704,2.48,Acceptable
FC0000400,PROD00281,2025-04,3796,3924,3.26,Acceptable
FC0000401,PROD00281,2025-05,3796,3632,4.52,Acceptable
FC0000402,PROD00281,2025-06,3796,3578,6.09,Acceptable
FC0000403,PROD00281,2025-07,3796,4071,6.76,Acceptable
FC0000404,PROD00281,2025-08,3796,3785,0.29,Acceptable
FC0000405,PROD00281,2025-09,3796,3563,6.54,Acceptable
FC0000406,PROD00281,2025-10,3796,3628,4.63,Acceptable
FC0000407,PROD00281,2025-11,4871,4993,2.44,Acceptable
FC0000408,PROD00281,2025-12,4942,5264,6.12,Acceptable
FC0000409,PROD00281,2026-01,3796,4562,16.79,Acceptable
FC0000410,PROD00281,2026-02,3796,3712,2.26,Acceptable
FC0000411,PROD00281,2026-03,3796,3475,9.24,Acceptable
FC0000412,PROD00281,2026-04,3796,3780,0.42,Acceptable
FC0000413,PROD00281,2026-05,3796,2390,58.83,High Error
FC0000414,PROD00281,2026-06,3796,3896,2.57,Acceptable
FC0000415,PROD00357,2025-01,2628,2817,6.71,Acceptable
FC0000416,PROD00357,2025-02,2628,2774,5.26,Acceptable
FC0000417,PROD00357,2025-03,2628,2597,1.19,Acceptable
FC0000418,PROD00357,2025-04,2628,2808,6.41,Acceptable
FC0000419,PROD00357,2025-05,2628,2509,4.74,Acceptable
FC0000420,PROD00357,2025-06,2628,2533,3.75,Acceptable
FC0000421,PROD00357,2025-07,2628,2996,12.28,Acceptable
FC0000422,PROD00357,2025-08,2628,2785,5.64,Acceptable
FC0000423,PROD00357,2025-09,2628,2518,4.37,Acceptable
FC0000424,PROD00357,2025-10,2628,2899,9.35,Acceptable
FC0000425,PROD00357,2025-11,2628,2458,6.92,Acceptable
FC0000426,PROD00357,2025-12,2628,2408,9.14,Acceptable
FC0000427,PROD00357,2026-01,2628,2649,0.79,Acceptable
FC0000428,PROD00357,2026-02,2628,3344,21.41,High Error
