inventory_id,product_id,warehouse_id,current_stock,reserved_stock,available_stock,safety_stock,reorder_point,last_updated
INV000138,PROD00138,WH001,421,137,284,350,455,2026-07-06
INV000139,PROD00139,WH001,891,165,726,116,304,2026-07-06
INV000140,PROD00140,WH003,147,39,108,233,485,2026-07-06
INV000141,PROD00141,WH008,48,29,19,114,353,2026-07-06
INV000142,PROD00142,WH001,679,9,670,312,513,2026-07-06
INV000143,PROD00143,WH007,179,18,161,379,675,2026-07-06
INV000144,PROD00144,WH006,111,22,89,301,533,2026-07-06
INV000145,PROD00145,WH005,515,142,373,114,234,2026-07-06
INV000146,PROD00146,WH004,144,58,86,100,353,2026-07-06
INV000147,PROD00147,WH007,529,104,425,166,321,2026-07-06
INV000148,PROD00148,WH008,794,115,679,268,398,2026-07-06
INV000149,PROD00149,WH003,828,110,718,475,546,2026-07-06
INV000150,PROD00150,WH001,647,4,643,393,474,2026-07-06
INV000151,PROD00151,WH004,797,172,625,230,306,2026-07-06
INV000152,PROD00152,WH004,242,136,106,482,674,2026-07-06
INV000153,PROD00153,WH005,12,10,2,361,648,2026-07-06
INV000154,PROD00154,WH002,129,11,118,53,149,2026-07-06
INV000155,PROD00155,WH006,148,91,57,96,337,2026-07-06
INV000156,PROD00156,WH002,1029,27,1002,209,443,2026-07-06
INV000157,PROD00157,WH008,593,175,418,130,373,2026-07-06
INV000158,PROD00158,WH002,617,155,462,360,523,2026-07-06
INV000159,PROD00159,WH001,177,72,105,106,228,2026-07-06
INV000160,PROD00160,WH003,896,97,799,356,420,2026-07-06
INV000161,PROD00161,WH003,809,169,640,217,297,2026-07-06
INV000162,PROD00162,WH002,63,60,3,322,552,2026-07-06
INV000163,PROD00163,WH007,320,136,184,273,327,2026-07-06
INV000164,PROD00164,WH003,450,34,416,198,277,2026-07-06
INV000165,PROD00165,WH007,800,139,661,95,256,2026-07-06
INV000166,PROD00166,WH002,604,162,442,495,624,2026-07-06
INV000167,PROD00167,WH004,295,76,219,447,586,2026-07-06
INV000168,PROD00168,WH003,764,2,762,181,281,2026-07-06
INV000169,PROD00169,WH006,1133,142,991,436,630,2026-07-06
INV000170,PROD00170,WH005,289,31,258,275,342,2026-07-06
INV000171,PROD00171,WH001,85,0,85,309,377,2026-07-06
INV000172,PROD00172,WH007,1172,152,1020,89,304,2026-07-06
INV000173,PROD00173,WH003,807,137,670,280,562,2026-07-06
INV000174,PROD00174,WH003,1121,21,1100,102,359,2026-07-06
INV000175,PROD00175,WH003,624,53,571,412,574,2026-07-06
INV000176,PROD00176,WH001,704,54,650,194,343,2026-07-06
INV000177,PROD00177,WH003,845,165,680,218,292,2026-07-06
INV000178,PROD00178,WH007,1049,36,1013,348,567,2026-07-06
INV000179,PROD00179,WH003,329,47,282,208,401,2026-07-06
INV000180,PROD00180,WH004,452,157,295,310,452,2026-07-06
INV000181,PROD00181,WH002,517,49,468,148,255,2026-07-06
INV000182,PROD00182,WH003,234,46,188,498,744,2026-07-06
INV000183,PROD00183,WH008,1161,13,1148,419,581,2026-07-06
INV000184,PROD00184,WH004,1124,118,1006,169,355,2026-07-06
INV000185,PROD00185,WH007,1125,18,1107,286,532,2026-07-06
INV000186,PROD00186,WH008,595,171,424,460,664,2026-07-06
INV000187,PROD00187,WH005,137,64,73,414,680,2026-07-06
INV000188,PROD00188,WH008,201,50,151,475,636,2026-07-06
INV000189,PROD00189,WH007,1189,124,1065,262,325,2026-07-06
INV000190,PROD00190,WH003,677,91,586,164,221,2026-07-06
INV000191,PROD00191,WH008,262,171,91,196,480,2026-07-06
INV000192,PROD00192,WH007,480,25,455,90,144,2026-07-06
INV000193,PROD00193,WH008,583,158,425,171,298,2026-07-06
INV000194,PROD00194,WH004,142,49,93,478,759,2026-07-06
INV000195,PROD00195,WH003,650,124,526,269,319,2026-07-06
INV000196,PROD00196,WH001,922,84,838,84,378,2026-07-06
INV000197,PROD00197,WH006,626,177,449,179,420,2026-07-06
INV000198,PROD00198,WH006,1196,39,1157,445,643,2026-07-06
INV000199,PROD00199,WH008,1158,145,1013,406,578,2026-07-06
INV000200,PROD00200,WH005,746,80,666,153,214,2026-07-06
INV000201,PROD00201,WH006,877,43,834,179,238,2026-07-06
INV000202,PROD00202,WH007,9,5,4,459,603,2026-07-06
INV000203,PROD00203,WH005,504,56,448,304,531,2026-07-06
INV000204,PROD00204,WH002,893,70,823,90,250,2026-07-06
INV000205,PROD00205,WH003,736,34,702,388,513,2026-07-06
INV000206,PROD00206,WH005,679,122,557,278,338,2026-07-06
INV000207,PROD00207,WH001,947,114,833,393,606,2026-07-06
INV000208,PROD00208,WH006,734,198,536,67,149,2026-07-06
INV000209,PROD00209,WH008,625,124,501,359,448,2026-07-06
INV000210,PROD00210,WH004,1129,27,1102,321,464,2026-07-06
INV000211,PROD00211,WH002,359,165,194,426,523,2026-07-06
INV000212,PROD00212,WH008,167,71,96,410,574,2026-07-06
INV000213,PROD00213,WH002,286,137,149,119,387,2026-07-06
INV000214,PROD00214,WH003,402,67,335,413,479,2026-07-06
INV000215,PROD00215,WH001,156,19,137,112,213,2026-07-06
INV000216,PROD00216,WH002,38,32,6,289,544,2026-07-06
INV000217,PROD00217,WH002,63,51,12,417,651,2026-07-06
INV000218,PROD00218,WH006,435,9,426,378,446,2026-07-06
INV000219,PROD00219,WH002,1129,66,1063,443,740,2026-07-06
INV000220,PROD00220,WH006,1113,138,975,134,225,2026-07-06
INV000221,PROD00221,WH002,966,167,799,178,278,2026-07-06
INV000222,PROD00222,WH001,304,93,211,137,355,2026-07-06
INV000223,PROD00223,WH007,803,57,746,73,365,2026-07-06
INV000224,PROD00224,WH008,595,34,561,371,560,2026-07-06
INV000225,PROD00225,WH008,951,128,823,202,368,2026-07-06
INV000226,PROD00226,WH006,1045,23,1022,287,389,2026-07-06
INV000227,PROD00227,WH006,812,93,719,116,360,2026-07-06
INV000228,PROD00228,WH001,1028,2,1026,112,230,2026-07-06
INV000229,PROD00229,WH006,489,157,332,492,699,2026-07-06
INV000230,PROD00230,WH008,339,193,146,440,530,2026-07-06
INV000231,PROD00231,WH004,1052,35,1017,61,134,2026-07-06
INV000232,PROD00232,WH005,913,40,873,75,197,2026-07-06
INV000233,PROD00233,WH006,366,144,222,270,354,2026-07-06
INV000234,PROD00234,WH002,1158,168,990,76,271,2026-07-06
INV000235,PROD00235,WH002,299,188,111,441,631,2026-07-06
INV000236,PROD00236,WH003,990,91,899,251,396,2026-07-06
INV000237,PROD00237,WH008,82,28,54,306,366,2026-07-06
INV000238,PROD00238,WH006,998,59,939,360,638,2026-07-06
INV000239,PROD00239,WH008,128,67,61,365,604,2026-07-06
INV000240,PROD00240,WH007,756,59,697,467,521,2026-07-06
INV000241,PROD00241,WH004,87,85,2,355,526,2026-07-06
INV000242,PROD00242,WH001,423,132,291,137,321,2026-07-06
INV000243,PROD00243,WH004,739,99,640,59,221,2026-07-06
INV000244,PROD00244,WH004,961,116,845,496,763,2026-07-06
INV000245,PROD00245,WH006,95,5,90,319,465,2026-07-06
INV000246,PROD00246,WH005,663,26,637,362,535,2026-07-06
INV000247,PROD00247,WH006,1067,162,905,444,567,2026-07-06
INV000248,PROD00248,WH007,560,189,371,336,625,2026-07-06
INV000249,PROD00249,WH002,539,148,391,445,700,2026-07-06
INV000250,PROD00250,WH005,1114,145,969,385,500,2026-07-06
INV000251,PROD00251,WH004,356,96,260,105,312,2026-07-06
INV000252,PROD00252,WH003,775,93,682,101,256,2026-07-06
INV000253,PROD00253,WH005,159,132,27,258,475,2026-07-06
INV000254,PROD00254,WH001,515,96,419,380,445,2026-07-06
INV000255,PROD00255,WH008,456,132,324,478,573,2026-07-06
INV000256,PROD00256,WH002,831,90,741,498,557,2026-07-06
INV000257,PROD00257,WH008,706,124,582,282,496,2026-07-06
INV000258,PROD00258,WH005,987,154,833,464,542,2026-07-06
INV000259,PROD00259,WH003,13,8,5,427,563,2026-07-06
INV000260,PROD00260,WH003,284,112,172,313,446,2026-07-06
INV000261,PROD00261,WH004,339,58,281,215,504,2026-07-06
INV000262,PROD00262,WH004,157,131,26,218,345,2026-07-06
INV000263,PROD00263,WH005,575,54,521,288,416,2026-07-06
INV000264,PROD00264,WH008,307,47,260,238,445,2026-07-06
INV000265,PROD00265,WH008,322,92,230,432,637,2026-07-06
INV000266,PROD00266,WH006,242,169,73,398,641,2026-07-06
INV000267,PROD00267,WH003,471,106,365,81,343,2026-07-06
INV000268,PROD00268,WH002,676,184,492,109,333,2026-07-06
INV000269,PROD00269,WH008,232,123,109,282,365,2026-07-06
INV000270,PROD00270,WH002,980,122,858,252,367,2026-07-06
INV000271,PROD00271,WH002,431,151,280,226,455,2026-07-06
INV000272,PROD00272,WH006,330,165,165,196,350,2026-07-06
INV000273,PROD00273,WH003,841,5,836,495,779,2026-07-06
INV000274,PROD00274,WH001,499,11,488,141,328,2026-07-06
INV000275,PROD00275,WH004,261,146,115,287,509,2026-07-06
INV000276,PROD00276,WH001,329,34,295,129,249,2026-07-06
INV000277,PROD00277,WH008,1049,10,1039,173,275,2026-07-06
INV000278,PROD00278,WH004,1172,37,1135,429,490,2026-07-06
INV000279,PROD00279,WH006,114,21,93,307,431,2026-07-06
INV000280,PROD00280,WH004,528,46,482,204,478,2026-07-06
INV000281,PROD00281,WH008,1058,103,955,190,255,2026-07-06
INV000282,PROD00282,WH007,1154,163,991,379,600,2026-07-06
INV000283,PROD00283,WH004,38,18,20,203,349,2026-07-06
INV000284,PROD00284,WH007,175,55,120,489,720,2026-07-06
INV000285,PROD00285,WH008,919,155,764,248,360,2026-07-06
INV000286,PROD00286,WH001,965,123,842,324,559,2026-07-06
INV000287,PROD00287,WH005,349,56,293,461,705,2026-07-06
INV000288,PROD00288,WH004,841,153,688,147,443,2026-07-06
INV000289,PROD00289,WH008,292,149,143,172,363,2026-07-06
INV000290,PROD00290,WH006,372,159,213,183,325,2026-07-06
INV000291,PROD00291,WH003,1046,67,979,210,365,2026-07-06
INV000292,PROD00292,WH006,343,185,158,333,622,2026-07-06
INV000293,PROD00293,WH005,701,116,585,341,604,2026-07-06
INV000294,PROD00294,WH008,140,58,82,285,378,2026-07-06
INV000295,PROD00295,WH001,774,98,676,318,376,2026-07-06
INV000296,PROD00296,WH001,270,27,243,481,692,2026-07-06
INV000297,PROD00297,WH001,33,12,21,241,306,2026-07-06
INV000298,PROD00298,WH001,1070,129,941,58,243,2026-07-06
INV000299,PROD00299,WH004,859,38,821,104,389,2026-07-06
INV000300,PROD00300,WH008,197,45,152,186,439,2026-07-06
INV000301,PROD00301,WH002,974,157,817,203,428,2026-07-06
INV000302,PROD00302,WH003,79,68,11,243,434,2026-07-06
INV000303,PROD00303,WH001,1030,192,838,482,643,2026-07-06
INV000304,PROD00304,WH005,240,23,217,494,721,2026-07-06
INV000305,PROD00305,WH003,987,168,819,485,615,2026-07-06
INV000306,PROD00306,WH006,266,154,112,203,294,2026-07-06
INV000307,PROD00307,WH001,1104,0,1104,454,680,2026-07-06
INV000308,PROD00308,WH007,883,133,750,168,432,2026-07-06
INV000309,PROD00309,WH007,861,94,767,374,493,2026-07-06
INV000310,PROD00310,WH005,88,67,21,398,597,2026-07-06
INV000311,PROD00311,WH007,878,58,820,92,210,2026-07-06
INV000312,PROD00312,WH006,987,196,791,104,177,2026-07-06
INV000313,PROD00313,WH007,780,89,691,117,189,2026-07-06
INV000314,PROD00314,WH007,1179,25,1154,95,235,2026-07-06
INV000315,PROD00315,WH004,871,34,837,261,410,2026-07-06
INV000316,PROD00316,WH003,521,122,399,136,221,2026-07-06
INV000317,PROD00317,WH006,476,21,455,272,392,2026-07-06
INV000318,PROD00318,WH008,580,153,427,419,629,2026-07-06
INV000319,PROD00319,WH007,1113,104,1009,205,256,2026-07-06
INV000320,PROD00320,WH004,527,48,479,221,381,2026-07-06
INV000321,PROD00321,WH008,11,11,0,140,436,2026-07-06
INV000322,PROD00322,WH004,14,9,5,242,363,2026-07-06
INV000323,PROD00323,WH002,1070,30,1040,422,590,2026-07-06
INV000324,PROD00324,WH007,1064,1,1063,121,333,2026-07-06
INV000325,PROD00325,WH007,768,167,601,279,482,2026-07-06
INV000326,PROD00326,WH006,420,176,244,409,688,2026-07-06
INV000327,PROD00327,WH007,646,104,542,338,553,2026-07-06
INV000328,PROD00328,WH004,741,27,714,100,216,2026-07-06
INV000329,PROD00329,WH008,316,109,207,250,418,2026-07-06
INV000330,PROD00330,WH006,1198,64,1134,262,547,2026-07-06
INV000331,PROD00331,WH008,535,137,398,283,533,2026-07-06
INV000332,PROD00332,WH001,867,144,723,419,647,2026-07-06
INV000333,PROD00333,WH004,748,156,592,484,621,2026-07-06
INV000334,PROD00334,WH007,564,174,390,219,412,2026-07-06
INV000335,PROD00335,WH004,813,193,620,377,595,2026-07-06
INV000336,PROD00336,WH002,417,105,312,249,300,2026-07-06
INV000337,PROD00337,WH006,1130,200,930,216,316,2026-07-06
INV000338,PROD00338,WH003,1141,123,1018,350,429,2026-07-06
INV000339,PROD00339,WH002,366,94,272,394,478,2026-07-06
INV000340,PROD00340,WH007,1145,142,1003,405,491,2026-07-06
INV000341,PROD00341,WH005,990,64,926,299,511,2026-07-06
INV000342,PROD00342,WH001,628,147,481,211,476,2026-07-06
INV000343,PROD00343,WH008,705,198,507,149,407,2026-07-06
INV000344,PROD00344,WH001,815,188,627,262,493,2026-07-06
INV000345,PROD00345,WH008,282,168,114,66,186,2026-07-06
INV000346,PROD00346,WH001,243,191,52,343,422,2026-07-06
INV000347,PROD00347,WH008,470,114,356,267,343,2026-07-06
INV000348,PROD00348,WH004,331,25,306,491,750,2026-07-06
INV000349,PROD00349,WH004,439,130,309,490,721,2026-07-06
INV000350,PROD00350,WH006,820,86,734,341,480,2026-07-06
INV000351,PROD00351,WH001,1127,157,970,343,461,2026-07-06
INV000352,PROD00352,WH004,106,20,86,409,680,2026-07-06
INV000353,PROD00353,WH008,796,162,634,122,319,2026-07-06
INV000354,PROD00354,WH008,10,1,9,256,437,2026-07-06
INV000355,PROD00355,WH006,297,120,177,347,397,2026-07-06
INV000356,PROD00356,WH005,891,22,869,161,458,2026-07-06
INV000357,PROD00357,WH006,131,67,64,222,412,2026-07-06
INV000358,PROD00358,WH008,454,94,360,100,310,2026-07-06
INV000359,PROD00359,WH003,163,155,8,269,370,2026-07-06
INV000360,PROD00360,WH001,77,49,28,385,527,2026-07-06
INV000361,PROD00361,WH002,820,157,663,421,650,2026-07-06
INV000362,PROD00362,WH008,1067,73,994,294,363,2026-07-06
INV000363,PROD00363,WH003,117,99,18,406,543,2026-07-06
INV000364,PROD00364,WH002,358,163,195,167,315,2026-07-06
INV000365,PROD00365,WH003,1012,112,900,203,288,2026-07-06
INV000366,PROD00366,WH003,21,6,15,362,578,2026-07-06
INV000367,PROD00367,WH002,1061,73,988,490,595,2026-07-06
INV000368,PROD00368,WH004,398,8,390,269,399,2026-07-06
INV000369,PROD00369,WH004,1045,132,913,484,750,2026-07-06
INV000370,PROD00370,WH004,474,157,317,380,443,2026-07-06
INV000371,PROD00371,WH003,347,172,175,320,597,2026-07-06
INV000372,PROD00372,WH001,73,46,27,237,426,2026-07-06
INV000373,PROD00373,WH005,489,167,322,184,289,2026-07-06
INV000374,PROD00374,WH003,0,0,0,409,561,2026-07-06
INV000375,PROD00375,WH006,177,70,107,208,278,2026-07-06
INV000376,PROD00376,WH001,818,90,728,208,436,2026-07-06
INV000377,PROD00377,WH005,809,103,706,272,351,2026-07-06
INV000378,PROD00378,WH008,1200,51,1149,56,287,2026-07-06
INV000379,PROD00379,WH002,1060,3,1057,135,280,2026-07-06
INV000380,PROD00380,WH002,140,23,117,463,622,2026-07-06
INV000381,PROD00381,WH003,1125,72,1053,311,453,2026-07-06
INV000382,PROD00382,WH004,1145,149,996,180,427,2026-07-06
INV000383,PROD00383,WH006,712,88,624,489,759,2026-07-06
INV000384,PROD00384,WH004,566,57,509,141,429,2026-07-06
INV000385,PROD00385,WH006,398,116,282,263,547,2026-07-06
INV000386,PROD00386,WH008,827,147,680,141,248,2026-07-06
INV000387,PROD00387,WH005,9,4,5,217,289,2026-07-06
INV000388,PROD00388,WH004,358,104,254,287,431,2026-07-06
INV000389,PROD00389,WH006,1036,27,1009,259,315,2026-07-06
INV000390,PROD00390,WH004,1144,18,1126,484,722,2026-07-06
INV000391,PROD00391,WH001,1030,75,955,80,378,2026-07-06
INV000392,PROD00392,WH002,696,29,667,408,687,2026-07-06
INV000393,PROD00393,WH004,1051,65,986,88,289,2026-07-06
INV000394,PROD00394,WH006,1101,147,954,485,615,2026-07-06
INV000395,PROD00395,WH002,512,177,335,169,238,2026-07-06
INV000396,PROD00396,WH006,906,96,810,134,299,2026-07-06
INV000397,PROD00397,WH003,1153,123,1030,207,375,2026-07-06
INV000398,PROD00398,WH006,498,193,305,160,423,2026-07-06
INV000399,PROD00399,WH001,695,198,497,396,522,2026-07-06
INV000400,PROD00400,WH003,939,174,765,334,575,2026-07-06
INV000401,PROD00401,WH006,943,150,793,81,343,2026-07-06
INV000402,PROD00402,WH008,56,30,26,466,535,2026-07-06
INV000403,PROD00403,WH001,238,66,172,483,745,2026-07-06
INV000404,PROD00404,WH007,138,97,41,470,705,2026-07-06
INV000405,PROD00405,WH003,451,173,278,159,441,2026-07-06
INV000406,PROD00406,WH008,470,80,390,381,506,2026-07-06
INV000407,PROD00407,WH004,844,90,754,193,341,2026-07-06
INV000408,PROD00408,WH006,1057,137,920,450,682,2026-07-06
INV000409,PROD00409,WH001,19,8,11,188,284,2026-07-06
INV000410,PROD00410,WH003,508,73,435,464,634,2026-07-06
INV000411,PROD00411,WH004,190,102,88,386,497,2026-07-06
INV000412,PROD00412,WH006,700,19,681,479,745,2026-07-06
INV000413,PROD00413,WH003,1135,45,1090,410,639,2026-07-06
INV000414,PROD00414,WH001,975,80,895,327,456,2026-07-06
INV000415,PROD00415,WH004,724,55,669,60,244,2026-07-06
INV000416,PROD00416,WH003,1174,68,1106,417,512,2026-07-06
INV000417,PROD00417,WH005,374,191,183,87,232,2026-07-06
INV000418,PROD00418,WH006,389,127,262,130,367,2026-07-06
INV000419,PROD00419,WH003,408,60,348,164,384,2026-07-06
INV000420,PROD00420,WH001,495,67,428,409,701,2026-07-06
INV000421,PROD00421,WH008,423,58,365,464,761,2026-07-06
INV000422,PROD00422,WH003,415,63,352,431,500,2026-07-06
INV000423,PROD00423,WH006,729,39,690,278,330,2026-07-06
INV000424,PROD00424,WH003,218,30,188,418,468,2026-07-06
INV000425,PROD00425,WH004,160,126,34,243,382,2026-07-06
INV000426,PROD00426,WH005,13,12,1,87,341,2026-07-06
INV000427,PROD00427,WH002,1108,10,1098,225,318,2026-07-06
INV000428,PROD00428,WH007,987,95,892,410,467,2026-07-06
INV000429,PROD00429,WH005,645,126,519,101,235,2026-07-06
INV000430,PROD00430,WH008,1176,70,1106,171,245,2026-07-06
