return_id,product_id,return_reason,warehouse_id,quantity,return_date
RET000097,PROD00166,Wrong Item,WH008,9,2025-06-03
RET000098,PROD00165,Late Delivery,WH005,12,2025-10-26
RET000099,PROD00122,Late Delivery,WH008,6,2025-10-18
RET000100,PROD00401,Customer Changed Mind,WH008,20,2026-03-31
RET000101,PROD00082,Late Delivery,WH005,15,2025-06-28
RET000102,PROD00203,Damaged,WH008,10,2026-04-16
RET000103,PROD00500,Quality Issue,WH007,18,2025-01-25
RET000104,PROD00291,Quality Issue,WH005,5,2026-02-01
RET000105,PROD00192,Quality Issue,WH002,7,2025-01-06
RET000106,PROD00220,Quality Issue,WH003,7,2026-04-29
RET000107,PROD00477,Quality Issue,WH002,18,2026-04-09
RET000108,PROD00225,Late Delivery,WH004,1,2025-05-15
RET000109,PROD00336,Customer Changed Mind,WH008,19,2026-05-20
RET000110,PROD00174,Customer Changed Mind,WH002,6,2025-01-30
RET000111,PROD00024,Damaged,WH003,3,2026-05-28
RET000112,PROD00173,Quality Issue,WH004,11,2025-06-15
RET000113,PROD00210,Late Delivery,WH007,16,2025-04-25
RET000114,PROD00015,Damaged,WH003,13,2025-03-18
RET000115,PROD00361,Wrong Item,WH006,4,2025-06-25
RET000116,PROD00229,Wrong Item,WH006,14,2025-07-24
RET000117,PROD00114,Customer Changed Mind,WH005,10,2025-05-14
RET000118,PROD00227,Quality Issue,WH003,18,2025-08-24
RET000119,PROD00163,Customer Changed Mind,WH005,1,2025-07-08
RET000120,PROD00370,Wrong Item,WH006,5,2025-04-12
RET000121,PROD00056,Damaged,WH005,8,2025-03-01
RET000122,PROD00435,Damaged,WH002,18,2025-07-10
RET000123,PROD00176,Customer Changed Mind,WH002,5,2025-06-10
RET000124,PROD00061,Quality Issue,WH007,14,2025-10-26
RET000125,PROD00336,Quality Issue,WH004,1,2026-03-18
RET000126,PROD00417,Damaged,WH008,6,2025-07-17
RET000127,PROD00428,Damaged,WH004,16,2025-09-30
RET000128,PROD00301,Damaged,WH004,16,2025-12-25
RET000129,PROD00452,Customer Changed Mind,WH005,17,2026-03-02
RET000130,PROD00386,Late Delivery,WH002,20,2025-04-26
RET000131,PROD00436,Quality Issue,WH002,18,2026-01-25
RET000132,PROD00451,Late Delivery,WH002,20,2025-10-25
RET000133,PROD00218,Damaged,WH005,20,2025-06-07
RET000134,PROD00493,Late Delivery,WH004,17,2026-03-13
RET000135,PROD00207,Damaged,WH005,2,2025-12-11
RET000136,PROD00254,Quality Issue,WH005,12,2026-01-18
RET000137,PROD00265,Late Delivery,WH001,4,2025-08-08
RET000138,PROD00426,Quality Issue,WH006,6,2025-02-18
RET000139,PROD00217,Customer Changed Mind,WH008,6,2026-04-09
RET000140,PROD00257,Late Delivery,WH008,11,2025-05-23
RET000141,PROD00330,Wrong Item,WH003,11,2025-02-18
RET000142,PROD00120,Damaged,WH003,6,2025-09-12
RET000143,PROD00031,Wrong Item,WH006,9,2026-05-02
RET000144,PROD00409,Customer Changed Mind,WH006,11,2025-10-20
RET000145,PROD00125,Wrong Item,WH001,15,2025-01-13
RET000146,PROD00363,Customer Changed Mind,WH003,11,2025-11-21
RET000147,PROD00163,Quality Issue,WH008,15,2025-09-15
RET000148,PROD00232,Wrong Item,WH007,15,2025-06-02
RET000149,PROD00109,Customer Changed Mind,WH004,19,2026-05-12
RET000150,PROD00094,Quality Issue,WH006,3,2025-01-12
RET000151,PROD00285,Wrong Item,WH001,13,2026-02-21
RET000152,PROD00473,Wrong Item,WH007,16,2026-03-13
RET000153,PROD00468,Damaged,WH001,15,2025-11-03
RET000154,PROD00485,Quality Issue,WH003,6,2025-08-02
RET000155,PROD00230,Quality Issue,WH007,9,2025-04-25
RET000156,PROD00154,Damaged,WH004,13,2026-06-30
RET000157,PROD00408,Late Delivery,WH006,10,2025-03-12
RET000158,PROD00448,Damaged,WH003,20,2025-09-14
RET000159,PROD00089,Customer Changed Mind,WH006,13,2025-03-23
RET000160,PROD00463,Damaged,WH006,17,2025-12-07
RET000161,PROD00471,Customer Changed Mind,WH005,3,2025-10-15
RET000162,PROD00208,Customer Changed Mind,WH003,5,2025-10-05
RET000163,PROD00390,Late Delivery,WH007,2,2025-08-18
RET000164,PROD00415,Wrong Item,WH004,12,2025-05-17
RET000165,PROD00370,Damaged,WH008,10,2025-03-07
RET000166,PROD00200,Quality Issue,WH004,14,2026-06-08
RET000167,PROD00139,Customer Changed Mind,WH001,12,2025-09-06
RET000168,PROD00432,Quality Issue,WH001,16,2025-09-17
RET000169,PROD00265,Late Delivery,WH004,11,2025-01-07
RET000170,PROD00394,Quality Issue,WH006,20,2025-04-18
RET000171,PROD00447,Damaged,WH008,6,2025-07-16
RET000172,PROD00073,Damaged,WH001,18,2026-03-09
RET000173,PROD00351,Late Delivery,WH007,7,2025-09-27
RET000174,PROD00161,Late Delivery,WH008,19,2025-03-20
RET000175,PROD00013,Damaged,WH003,14,2026-02-11
RET000176,PROD00072,Damaged,WH008,12,2025-12-10
RET000177,PROD00133,Customer Changed Mind,WH006,7,2025-12-10
RET000178,PROD00497,Customer Changed Mind,WH008,18,2026-04-30
RET000179,PROD00248,Damaged,WH007,14,2026-06-08
RET000180,PROD00165,Damaged,WH007,11,2026-06-12
RET000181,PROD00342,Damaged,WH008,10,2025-03-21
RET000182,PROD00011,Quality Issue,WH004,6,2025-11-07
RET000183,PROD00120,Quality Issue,WH008,17,2025-03-27
RET000184,PROD00274,Late Delivery,WH006,15,2025-11-27
RET000185,PROD00255,Quality Issue,WH008,1,2025-10-20
RET000186,PROD00374,Damaged,WH006,11,2026-02-11
RET000187,PROD00359,Wrong Item,WH005,18,2026-06-04
RET000188,PROD00044,Quality Issue,WH005,8,2026-01-18
RET000189,PROD00074,Quality Issue,WH006,10,2025-06-20
RET000190,PROD00427,Damaged,WH006,14,2025-03-26
RET000191,PROD00280,Wrong Item,WH008,15,2026-01-08
RET000192,PROD00301,Damaged,WH006,13,2025-02-22
RET000193,PROD00200,Quality Issue,WH007,20,2025-06-15
RET000194,PROD00285,Customer Changed Mind,WH001,12,2025-03-25
RET000195,PROD00312,Quality Issue,WH003,1,2025-05-09
RET000196,PROD00252,Customer Changed Mind,WH006,9,2025-02-16
RET000197,PROD00218,Wrong Item,WH002,14,2026-02-12
RET000198,PROD00206,Quality Issue,WH001,13,2025-10-12
RET000199,PROD00006,Late Delivery,WH004,6,2026-02-16
RET000200,PROD00401,Quality Issue,WH006,11,2025-09-02
RET000201,PROD00349,Customer Changed Mind,WH004,8,2025-08-04
RET000202,PROD00052,Damaged,WH005,19,2025-08-21
RET000203,PROD00145,Wrong Item,WH006,10,2025-09-12
RET000204,PROD00440,Late Delivery,WH003,17,2026-06-08
RET000205,PROD00381,Damaged,WH007,14,2025-06-28
RET000206,PROD00310,Late Delivery,WH004,9,2026-03-22
RET000207,PROD00171,Customer Changed Mind,WH008,3,2026-05-27
RET000208,PROD00043,Customer Changed Mind,WH001,1,2025-02-05
RET000209,PROD00134,Customer Changed Mind,WH002,1,2025-06-05
RET000210,PROD00253,Damaged,WH004,6,2025-02-10
RET000211,PROD00374,Quality Issue,WH007,3,2026-03-05
RET000212,PROD00292,Customer Changed Mind,WH001,17,2026-04-23
RET000213,PROD00295,Quality Issue,WH005,10,2026-06-08
RET000214,PROD00203,Quality Issue,WH003,16,2025-03-13
RET000215,PROD00130,Quality Issue,WH006,1,2026-05-13
RET000216,PROD00089,Customer Changed Mind,WH005,6,2025-06-01
RET000217,PROD00480,Damaged,WH002,5,2025-12-29
RET000218,PROD00003,Customer Changed Mind,WH002,12,2025-05-17
RET000219,PROD00010,Late Delivery,WH004,15,2025-07-26
RET000220,PROD00140,Customer Changed Mind,WH003,16,2025-12-02
RET000221,PROD00110,Customer Changed Mind,WH008,13,2025-03-16
RET000222,PROD00196,Damaged,WH007,6,2026-02-08
RET000223,PROD00280,Wrong Item,WH004,7,2025-10-23
RET000224,PROD00291,Damaged,WH002,2,2026-06-28
RET000225,PROD00212,Damaged,WH002,15,2026-05-01
RET000226,PROD00245,Late Delivery,WH005,13,2026-04-18
RET000227,PROD00329,Customer Changed Mind,WH004,10,2025-01-21
RET000228,PROD00437,Late Delivery,WH002,16,2026-01-20
RET000229,PROD00040,Damaged,WH008,18,2025-11-28
RET000230,PROD00260,Damaged,WH003,7,2025-07-27
RET000231,PROD00238,Damaged,WH006,8,2025-08-16
RET000232,PROD00478,Customer Changed Mind,WH008,13,2025-10-07
RET000233,PROD00200,Damaged,WH008,10,2025-06-27
RET000234,PROD00404,Damaged,WH004,15,2025-03-15
RET000235,PROD00224,Damaged,WH005,4,2025-12-23
RET000236,PROD00434,Late Delivery,WH007,13,2026-01-24
RET000237,PROD00288,Customer Changed Mind,WH003,7,2026-06-25
RET000238,PROD00235,Wrong Item,WH003,15,2026-04-10
RET000239,PROD00062,Quality Issue,WH001,6,2026-06-26
RET000240,PROD00392,Late Delivery,WH007,7,2026-06-23
RET000241,PROD00247,Late Delivery,WH006,1,2026-01-04
RET000242,PROD00199,Wrong Item,WH002,20,2025-03-11
RET000243,PROD00066,Late Delivery,WH006,5,2025-03-24
RET000244,PROD00093,Wrong Item,WH006,19,2025-11-26
RET000245,PROD00012,Wrong Item,WH001,3,2026-01-10
RET000246,PROD00058,Late Delivery,WH005,19,2026-02-01
RET000247,PROD00051,Damaged,WH006,20,2026-05-15
RET000248,PROD00388,Late Delivery,WH006,19,2025-10-24
RET000249,PROD00463,Late Delivery,WH006,5,2025-04-13
RET000250,PROD00355,Damaged,WH003,2,2025-03-14
RET000251,PROD00235,Customer Changed Mind,WH008,1,2025-07-29
RET000252,PROD00199,Damaged,WH004,14,2026-04-08
RET000253,PROD00186,Late Delivery,WH003,3,2025-01-23
RET000254,PROD00454,Damaged,WH001,2,2025-05-25
RET000255,PROD00336,Quality Issue,WH008,20,2025-10-21
RET000256,PROD00293,Late Delivery,WH003,3,2026-04-28
RET000257,PROD00072,Damaged,WH005,18,2025-02-11
RET000258,PROD00092,Late Delivery,WH005,6,2026-03-18
RET000259,PROD00036,Late Delivery,WH007,17,2025-12-22
RET000260,PROD00272,Wrong Item,WH003,6,2026-01-28
RET000261,PROD00337,Late Delivery,WH005,10,2025-02-26
RET000262,PROD00456,Quality Issue,WH002,1,2025-04-07
RET000263,PROD00235,Quality Issue,WH008,7,2025-12-22
RET000264,PROD00349,Customer Changed Mind,WH004,14,2025-05-28
RET000265,PROD00168,Quality Issue,WH001,13,2025-02-03
RET000266,PROD00298,Customer Changed Mind,WH008,5,2025-09-15
RET000267,PROD00062,Late Delivery,WH004,18,2025-09-04
RET000268,PROD00051,Damaged,WH008,12,2025-12-08
RET000269,PROD00082,Damaged,WH005,15,2025-05-23
RET000270,PROD00444,Damaged,WH001,10,2026-05-10
RET000271,PROD00255,Wrong Item,WH001,15,2026-06-18
RET000272,PROD00442,Wrong Item,WH008,8,2026-02-05
RET000273,PROD00077,Late Delivery,WH006,7,2025-06-24
RET000274,PROD00412,Quality Issue,WH005,7,2025-06-11
RET000275,PROD00170,Wrong Item,WH007,6,2025-08-28
RET000276,PROD00192,Late Delivery,WH001,14,2025-05-11
RET000277,PROD00026,Late Delivery,WH004,15,2025-08-02
RET000278,PROD00114,Wrong Item,WH004,1,2025-08-30
RET000279,PROD00045,Late Delivery,WH007,9,2025-03-15
RET000280,PROD00162,Quality Issue,WH006,1,2026-03-11
RET000281,PROD00343,Customer Changed Mind,WH001,20,2025-09-12
RET000282,PROD00011,Late Delivery,WH002,18,2025-12-01
RET000283,PROD00207,Wrong Item,WH001,7,2025-11-19
RET000284,PROD00497,Damaged,WH001,4,2026-05-22
RET000285,PROD00180,Late Delivery,WH005,7,2025-01-21
RET000286,PROD00062,Damaged,WH006,2,2025-08-12
RET000287,PROD00164,Customer Changed Mind,WH004,9,2025-02-24
RET000288,PROD00335,Customer Changed Mind,WH007,1,2025-02-12
RET000289,PROD00282,Customer Changed Mind,WH008,13,2025-02-26
RET000290,PROD00102,Late Delivery,WH007,12,2026-05-31
RET000291,PROD00322,Customer Changed Mind,WH005,5,2025-12-02
RET000292,PROD00121,Late Delivery,WH003,15,2025-06-16
RET000293,PROD00224,Quality Issue,WH006,15,2026-03-27
RET000294,PROD00015,Late Delivery,WH007,10,2025-12-10
RET000295,PROD00189,Wrong Item,WH003,16,2025-11-16
RET000296,PROD00295,Late Delivery,WH001,3,2026-05-21
RET000297,PROD00002,Wrong Item,WH006,5,2025-08-04
RET000298,PROD00065,Quality Issue,WH005,20,2026-02-22
RET000299,PROD00038,Wrong Item,WH003,6,2025-10-14
RET000300,PROD00409,Quality Issue,WH007,2,2025-04-03
RET000301,PROD00144,Wrong Item,WH004,17,2025-12-30
RET000302,PROD00027,Late Delivery,WH008,3,2025-04-15
RET000303,PROD00079,Wrong Item,WH001,8,2025-10-22
RET000304,PROD00424,Quality Issue,WH008,15,2025-11-22
RET000305,PROD00235,Damaged,WH003,9,2025-08-14
RET000306,PROD00247,Late Delivery,WH004,17,2025-02-21
RET000307,PROD00011,Wrong Item,WH007,5,2026-01-28
RET000308,PROD00342,Damaged,WH008,11,2025-08-23
RET000309,PROD00304,Wrong Item,WH004,15,2025-12-26
RET000310,PROD00315,Late Delivery,WH008,15,2025-07-24
RET000311,PROD00108,Wrong Item,WH001,14,2026-03-19
RET000312,PROD00018,Customer Changed Mind,WH006,17,2025-11-24
RET000313,PROD00253,Quality Issue,WH007,12,2025-05-27
RET000314,PROD00028,Quality Issue,WH002,12,2025-11-04
RET000315,PROD00059,Wrong Item,WH001,8,2026-05-17
RET000316,PROD00328,Customer Changed Mind,WH006,17,2026-05-19
RET000317,PROD00204,Late Delivery,WH005,5,2025-04-16
RET000318,PROD00325,Wrong Item,WH007,18,2026-06-21
RET000319,PROD00116,Quality Issue,WH002,20,2026-04-24
RET000320,PROD00465,Quality Issue,WH006,1,2025-01-22
RET000321,PROD00234,Quality Issue,WH002,4,2025-11-21
RET000322,PROD00312,Late Delivery,WH006,4,2025-12-22
RET000323,PROD00312,Quality Issue,WH005,20,2025-02-14
RET000324,PROD00418,Customer Changed Mind,WH007,20,2025-05-06
RET000325,PROD00299,Damaged,WH002,12,2026-01-26
RET000326,PROD00189,Customer Changed Mind,WH001,3,2026-06-25
RET000327,PROD00196,Damaged,WH008,5,2026-05-15
RET000328,PROD00046,Damaged,WH002,6,2026-04-13
RET000329,PROD00184,Customer Changed Mind,WH004,4,2026-03-01
RET000330,PROD00319,Quality Issue,WH003,9,2025-12-31
RET000331,PROD00244,Damaged,WH007,2,2025-07-10
RET000332,PROD00397,Damaged,WH002,13,2026-01-19
RET000333,PROD00146,Quality Issue,WH001,11,2026-05-09
RET000334,PROD00297,Wrong Item,WH006,5,2025-09-30
RET000335,PROD00183,Customer Changed Mind,WH003,3,2026-02-20
RET000336,PROD00260,Quality Issue,WH002,19,2025-11-01
RET000337,PROD00121,Wrong Item,WH004,6,2025-01-02
RET000338,PROD00111,Damaged,WH001,16,2026-05-24
RET000339,PROD00099,Wrong Item,WH006,15,2025-09-10
RET000340,PROD00452,Customer Changed Mind,WH003,4,2026-01-10
RET000341,PROD00323,Wrong Item,WH001,7,2025-07-05
RET000342,PROD00341,Customer Changed Mind,WH001,11,2025-11-03
RET000343,PROD00226,Late Delivery,WH004,3,2026-02-24
RET000344,PROD00457,Wrong Item,WH002,2,2026-03-30
RET000345,PROD00449,Quality Issue,WH004,3,2025-10-14
RET000346,PROD00018,Customer Changed Mind,WH007,15,2025-03-14
RET000347,PROD00025,Damaged,WH008,18,2025-01-17
RET000348,PROD00007,Late Delivery,WH001,11,2025-08-03
RET000349,PROD00254,Late Delivery,WH006,20,2025-11-05
RET000350,PROD00181,Damaged,WH002,8,2025-07-14
RET000351,PROD00045,Wrong Item,WH006,10,2025-04-08
RET000352,PROD00079,Damaged,WH008,7,2026-03-30
RET000353,PROD00101,Damaged,WH004,12,2025-09-20
RET000354,PROD00455,Late Delivery,WH005,1,2025-01-22
RET000355,PROD00223,Quality Issue,WH005,16,2026-04-06
RET000356,PROD00150,Customer Changed Mind,WH007,5,2025-04-23
RET000357,PROD00168,Wrong Item,WH007,18,2025-10-04
RET000358,PROD00267,Wrong Item,WH002,10,2025-04-24
RET000359,PROD00104,Wrong Item,WH005,18,2025-12-08
RET000360,PROD00348,Quality Issue,WH003,1,2025-01-09
RET000361,PROD00249,Customer Changed Mind,WH005,12,2026-03-28
RET000362,PROD00379,Late Delivery,WH006,18,2026-06-15
RET000363,PROD00465,Damaged,WH003,5,2025-11-05
RET000364,PROD00327,Quality Issue,WH008,13,2025-06-15
RET000365,PROD00111,Wrong Item,WH002,18,2025-01-06
RET000366,PROD00488,Quality Issue,WH007,16,2025-02-25
RET000367,PROD00113,Late Delivery,WH003,15,2025-05-10
RET000368,PROD00359,Late Delivery,WH005,9,2025-07-16
RET000369,PROD00262,Damaged,WH001,13,2025-12-26
RET000370,PROD00097,Quality Issue,WH005,5,2026-03-27
RET000371,PROD00230,Damaged,WH004,1,2025-03-08
RET000372,PROD00398,Wrong Item,WH005,10,2026-03-02
RET000373,PROD00477,Quality Issue,WH002,1,2025-07-24
RET000374,PROD00311,Late Delivery,WH003,11,2026-06-16
RET000375,PROD00247,Late Delivery,WH005,6,2026-04-01
RET000376,PROD00285,Quality Issue,WH004,11,2025-08-23
RET000377,PROD00097,Late Delivery,WH008,5,2025-08-04
RET000378,PROD00494,Customer Changed Mind,WH007,17,2025-11-15
RET000379,PROD00324,Wrong Item,WH003,6,2026-06-06
RET000380,PROD00001,Wrong Item,WH006,1,2025-12-07
RET000381,PROD00261,Wrong Item,WH008,15,2025-07-08
RET000382,PROD00166,Quality Issue,WH001,7,2025-09-25
RET000383,PROD00248,Customer Changed Mind,WH005,16,2025-08-24
RET000384,PROD00406,Wrong Item,WH008,1,2025-04-24
RET000385,PROD00231,Customer Changed Mind,WH008,16,2025-12-14
RET000386,PROD00115,Wrong Item,WH003,6,2025-12-10
RET000387,PROD00423,Wrong Item,WH001,2,2025-03-26
RET000388,PROD00385,Damaged,WH003,7,2025-11-09
RET000389,PROD00193,Wrong Item,WH001,7,2025-10-15
RET000390,PROD00392,Customer Changed Mind,WH008,7,2025-08-20
RET000391,PROD00296,Late Delivery,WH004,12,2025-11-05
RET000392,PROD00440,Damaged,WH003,4,2025-02-03
RET000393,PROD00293,Quality Issue,WH004,18,2025-11-18
RET000394,PROD00324,Quality Issue,WH007,14,2025-07-23
RET000395,PROD00196,Wrong Item,WH007,11,2025-10-14
RET000396,PROD00427,Quality Issue,WH005,20,2026-06-04
RET000397,PROD00212,Customer Changed Mind,WH008,18,2025-03-14
RET000398,PROD00087,Damaged,WH004,10,2025-11-25
RET000399,PROD00326,Late Delivery,WH006,8,2025-10-28
RET000400,PROD00412,Customer Changed Mind,WH007,16,2025-06-15
RET000401,PROD00232,Wrong Item,WH008,11,2026-05-25
RET000402,PROD00326,Wrong Item,WH004,3,2025-11-16
RET000403,PROD00285,Customer Changed Mind,WH007,4,2026-05-31
RET000404,PROD00336,Quality Issue,WH007,8,2026-02-12
RET000405,PROD00381,Late Delivery,WH003,17,2025-09-07
RET000406,PROD00403,Customer Changed Mind,WH002,4,2025-02-05
RET000407,PROD00500,Late Delivery,WH002,13,2025-12-14
RET000408,PROD00154,Wrong Item,WH005,20,2026-06-07
RET000409,PROD00183,Quality Issue,WH001,12,2026-04-21
RET000410,PROD00011,Customer Changed Mind,WH002,3,2025-09-23
RET000411,PROD00432,Damaged,WH007,12,2025-09-24
RET000412,PROD00387,Quality Issue,WH007,12,2025-10-04
RET000413,PROD00169,Wrong Item,WH007,16,2025-04-08
RET000414,PROD00385,Customer Changed Mind,WH001,15,2025-10-08
RET000415,PROD00267,Wrong Item,WH006,4,2026-01-01
RET000416,PROD00204,Customer Changed Mind,WH004,9,2025-07-25
RET000417,PROD00387,Quality Issue,WH003,19,2026-01-10
RET000418,PROD00455,Wrong Item,WH005,20,2025-08-10
RET000419,PROD00298,Quality Issue,WH006,4,2025-11-30
RET000420,PROD00017,Customer Changed Mind,WH003,5,2025-12-09
RET000421,PROD00177,Damaged,WH005,16,2025-08-07
RET000422,PROD00342,Damaged,WH006,19,2026-02-15
RET000423,PROD00089,Quality Issue,WH007,12,2026-03-14
RET000424,PROD00118,Damaged,WH003,9,2026-03-20
RET000425,PROD00408,Wrong Item,WH005,9,2025-08-12
RET000426,PROD00428,Late Delivery,WH007,16,2025-04-10
RET000427,PROD00350,Customer Changed Mind,WH004,17,2026-01-29
RET000428,PROD00423,Late Delivery,WH003,20,2025-06-03
RET000429,PROD00412,Late Delivery,WH004,16,2025-04-14
RET000430,PROD00231,Late Delivery,WH003,20,2025-08-07
RET000431,PROD00274,Customer Changed Mind,WH004,3,2025-02-18
RET000432,PROD00291,Quality Issue,WH007,15,2025-03-24
RET000433,PROD00117,Late Delivery,WH008,17,2025-09-28
RET000434,PROD00001,Customer Changed Mind,WH008,7,2026-03-24
RET000435,PROD00306,Damaged,WH008,3,2025-05-15
RET000436,PROD00273,Damaged,WH002,13,2026-06-29
RET000437,PROD00364,Late Delivery,WH002,18,2025-09-17
RET000438,PROD00463,Quality Issue,WH008,3,2025-05-27
RET000439,PROD00379,Quality Issue,WH001,4,2026-06-01
RET000440,PROD00211,Wrong Item,WH008,9,2025-12-18
RET000441,PROD00042,Late Delivery,WH005,3,2025-01-22
RET000442,PROD00235,Customer Changed Mind,WH005,20,2025-03-08
RET000443,PROD00180,Damaged,WH002,16,2025-11-23
RET000444,PROD00135,Wrong Item,WH007,3,2025-10-23
RET000445,PROD00025,Wrong Item,WH003,15,2025-11-15
RET000446,PROD00311,Damaged,WH005,12,2025-11-14
RET000447,PROD00155,Wrong Item,WH003,17,2025-03-25
