shipment_id,po_number,carrier,warehouse_id,destination,status,eta
SHP000034,PO002166,UPS,WH005,"Dallas, TX",Delayed,2026-07-03
SHP000035,PO000116,DHL,WH007,"Atlanta, GA",Delayed,2025-11-19
SHP000036,PO001823,FedEx,WH007,"New York, NY",Delivered,2025-05-15
SHP000037,PO001321,FedEx,WH002,"New York, NY",Delivered,2026-03-18
SHP000038,PO001890,UPS,WH008,"Chicago, IL",Delayed,2026-04-11
SHP000039,PO002726,FedEx,WH004,"Dallas, TX",Delayed,2025-09-02
SHP000040,PO002157,DHL,WH007,"Atlanta, GA",Delayed,2026-07-02
SHP000041,PO001372,DHL,WH003,"New York, NY",In Transit,2025-09-14
SHP000042,PO001231,DHL,WH001,"Dallas, TX",Delivered,2025-11-25
SHP000043,PO002611,FedEx,WH006,"Dallas, TX",In Transit,2025-08-04
SHP000044,PO001119,XPO Logistics,WH004,"Dallas, TX",Exception,2026-07-28
SHP000045,PO001151,J.B. Hunt,WH001,"Dallas, TX",Delayed,2025-07-13
SHP000046,PO000698,Ryder,WH004,"Chicago, IL",In Transit,2025-10-06
SHP000047,PO001843,UPS,WH001,"Atlanta, GA",In Transit,2026-02-02
SHP000048,PO001674,Ryder,WH006,"Seattle, WA",Delayed,2026-01-12
SHP000049,PO002388,DHL,WH008,"Atlanta, GA",In Transit,2026-06-02
SHP000050,PO000388,Ryder,WH008,"New York, NY",Exception,2025-12-20
SHP000051,PO000005,J.B. Hunt,WH004,"New York, NY",In Transit,2025-08-23
SHP000052,PO000775,FedEx,WH001,"New York, NY",Delayed,2025-08-01
SHP000053,PO002614,J.B. Hunt,WH006,"Seattle, WA",Delayed,2025-03-23
SHP000054,PO000715,UPS,WH001,"New York, NY",Exception,2026-06-28
SHP000055,PO002116,UPS,WH004,"New York, NY",Delayed,2026-05-09
SHP000056,PO000942,UPS,WH001,"Dallas, TX",Exception,2026-06-15
SHP000057,PO001176,Ryder,WH005,"Seattle, WA",Exception,2026-01-06
SHP000058,PO000383,DHL,WH006,"Seattle, WA",Delivered,2026-04-07
SHP000059,PO001440,Ryder,WH007,"Seattle, WA",In Transit,2025-11-24
SHP000060,PO002103,UPS,WH008,"Dallas, TX",Delivered,2025-08-03
SHP000061,PO001877,J.B. Hunt,WH008,"Atlanta, GA",Exception,2026-01-01
SHP000062,PO001915,FedEx,WH003,"Dallas, TX",Delivered,2026-07-20
SHP000063,PO002273,Ryder,WH003,"Dallas, TX",Exception,2025-12-16
SHP000064,PO000570,J.B. Hunt,WH001,"Seattle, WA",Delayed,2026-02-14
SHP000065,PO002802,J.B. Hunt,WH001,"Seattle, WA",Delayed,2025-08-02
SHP000066,PO001467,DHL,WH008,"Seattle, WA",Delayed,2026-06-30
SHP000067,PO001558,FedEx,WH003,"Atlanta, GA",In Transit,2025-06-21
SHP000068,PO000945,FedEx,WH008,"Chicago, IL",Delayed,2025-10-03
SHP000069,PO002206,FedEx,WH001,"Dallas, TX",Delivered,2026-05-11
SHP000070,PO002963,FedEx,WH004,"Seattle, WA",Delivered,2025-07-05
SHP000071,PO000003,J.B. Hunt,WH002,"Seattle, WA",Exception,2025-07-04
SHP000072,PO002055,XPO Logistics,WH002,"Seattle, WA",Delayed,2025-05-09
SHP000073,PO000789,DHL,WH008,"Dallas, TX",Exception,2026-03-07
SHP000074,PO001723,Ryder,WH004,"Atlanta, GA",Delivered,2026-05-16
SHP000075,PO001564,DHL,WH007,"Atlanta, GA",In Transit,2026-03-30
SHP000076,PO002490,J.B. Hunt,WH004,"Dallas, TX",In Transit,2025-01-26
SHP000077,PO000349,Ryder,WH001,"Dallas, TX",In Transit,2025-01-12
SHP000078,PO001404,Ryder,WH004,"Chicago, IL",Exception,2025-03-23
SHP000079,PO002888,UPS,WH001,"Dallas, TX",Delivered,2025-12-05
SHP000080,PO000142,FedEx,WH007,"Seattle, WA",Exception,2025-10-30
SHP000081,PO001989,FedEx,WH007,"Dallas, TX",Delayed,2025-08-04
SHP000082,PO002617,J.B. Hunt,WH004,"Dallas, TX",Delayed,2025-06-01
SHP000083,PO001818,UPS,WH004,"Chicago, IL",Exception,2026-05-18
SHP000084,PO002862,Ryder,WH005,"Atlanta, GA",Delayed,2026-01-27
SHP000085,PO002808,FedEx,WH007,"Dallas, TX",Exception,2025-04-29
SHP000086,PO001547,XPO Logistics,WH008,"Chicago, IL",Exception,2025-03-04
SHP000087,PO001157,J.B. Hunt,WH003,"Dallas, TX",Exception,2026-04-10
SHP000088,PO002725,J.B. Hunt,WH002,"Dallas, TX",Delayed,2025-05-06
SHP000089,PO002179,UPS,WH001,"New York, NY",Delivered,2026-04-16
SHP000090,PO002095,J.B. Hunt,WH001,"Dallas, TX",Delayed,2026-04-28
SHP000091,PO002196,FedEx,WH006,"Seattle, WA",Delivered,2026-04-13
SHP000092,PO000684,Ryder,WH007,"Atlanta, GA",Delayed,2026-04-22
SHP000093,PO002278,DHL,WH008,"New York, NY",Delayed,2026-04-11
SHP000094,PO000751,Ryder,WH004,"Seattle, WA",Delivered,2025-08-19
SHP000095,PO001508,Ryder,WH005,"Seattle, WA",Exception,2025-11-24
SHP000096,PO002899,J.B. Hunt,WH004,"Seattle, WA",Delivered,2025-01-22
SHP000097,PO001676,Ryder,WH007,"Atlanta, GA",Delayed,2026-07-07
SHP000098,PO000246,FedEx,WH001,"Atlanta, GA",In Transit,2025-08-11
SHP000099,PO001081,UPS,WH005,"Chicago, IL",Delayed,2025-08-08
SHP000100,PO000456,J.B. Hunt,WH003,"Dallas, TX",Delivered,2025-09-28
SHP000101,PO002001,FedEx,WH001,"Chicago, IL",Exception,2025-02-03
SHP000102,PO002886,DHL,WH006,"Atlanta, GA",Exception,2026-04-25
SHP000103,PO001003,UPS,WH007,"Atlanta, GA",Exception,2025-12-22
SHP000104,PO000057,UPS,WH003,"Atlanta, GA",Delivered,2026-03-11
SHP000105,PO001680,XPO Logistics,WH003,"Chicago, IL",Delivered,2025-04-17
SHP000106,PO000527,DHL,WH003,"Dallas, TX",Delivered,2025-07-17
SHP000107,PO000229,XPO Logistics,WH004,"Chicago, IL",Exception,2025-06-29
SHP000108,PO000024,FedEx,WH005,"New York, NY",Delivered,2026-07-12
SHP000109,PO001193,Ryder,WH007,"Dallas, TX",Delivered,2026-07-03
SHP000110,PO001180,DHL,WH001,"Atlanta, GA",Delivered,2025-06-20
SHP000111,PO000213,FedEx,WH007,"Atlanta, GA",Delayed,2025-08-26
SHP000112,PO002949,UPS,WH002,"Dallas, TX",Exception,2026-05-11
SHP000113,PO001111,FedEx,WH007,"New York, NY",In Transit,2026-04-01
SHP000114,PO000804,J.B. Hunt,WH002,"Seattle, WA",Delivered,2025-01-01
SHP000115,PO001918,UPS,WH006,"Chicago, IL",Exception,2026-03-16
SHP000116,PO002265,UPS,WH007,"Seattle, WA",Delivered,2025-12-08
SHP000117,PO001983,FedEx,WH002,"Dallas, TX",In Transit,2026-04-08
SHP000118,PO002317,XPO Logistics,WH007,"New York, NY",Exception,2025-01-07
SHP000119,PO000275,XPO Logistics,WH005,"Dallas, TX",Exception,2025-10-08
SHP000120,PO000194,UPS,WH006,"New York, NY",Delayed,2026-04-30
SHP000121,PO001692,J.B. Hunt,WH006,"Chicago, IL",Delayed,2026-03-14
SHP000122,PO000711,UPS,WH006,"Chicago, IL",Exception,2025-10-26
SHP000123,PO002046,XPO Logistics,WH007,"New York, NY",Delayed,2026-04-16
SHP000124,PO002983,UPS,WH006,"Dallas, TX",Exception,2026-05-09
SHP000125,PO002193,FedEx,WH004,"Chicago, IL",Exception,2026-01-31
SHP000126,PO001082,Ryder,WH001,"Dallas, TX",In Transit,2026-05-07
SHP000127,PO000924,J.B. Hunt,WH006,"Dallas, TX",Delayed,2025-01-18
SHP000128,PO002165,DHL,WH002,"New York, NY",Exception,2025-03-20
SHP000129,PO000968,UPS,WH004,"Dallas, TX",Exception,2025-08-16
SHP000130,PO000485,XPO Logistics,WH003,"Atlanta, GA",Delayed,2026-05-15
SHP000131,PO000194,Ryder,WH002,"Atlanta, GA",Exception,2025-03-19
SHP000132,PO000080,UPS,WH005,"Dallas, TX",Delayed,2025-08-24
SHP000133,PO000784,Ryder,WH001,"Seattle, WA",Exception,2025-05-09
SHP000134,PO000220,Ryder,WH002,"Atlanta, GA",In Transit,2026-07-15
SHP000135,PO000074,FedEx,WH004,"Dallas, TX",Exception,2026-02-12
SHP000136,PO000159,FedEx,WH004,"Atlanta, GA",Delivered,2025-12-26
SHP000137,PO001312,J.B. Hunt,WH004,"Seattle, WA",In Transit,2025-10-08
SHP000138,PO001393,XPO Logistics,WH001,"New York, NY",In Transit,2025-11-26
SHP000139,PO000021,J.B. Hunt,WH004,"Atlanta, GA",Exception,2026-03-30
SHP000140,PO000282,DHL,WH005,"Dallas, TX",Exception,2025-05-29
SHP000141,PO002690,XPO Logistics,WH003,"Dallas, TX",Exception,2026-04-20
SHP000142,PO002744,UPS,WH001,"New York, NY",Exception,2025-10-25
SHP000143,PO001519,XPO Logistics,WH005,"Chicago, IL",Exception,2025-10-20
SHP000144,PO002144,XPO Logistics,WH004,"Atlanta, GA",In Transit,2025-05-24
SHP000145,PO000905,J.B. Hunt,WH003,"New York, NY",Exception,2025-01-25
SHP000146,PO000099,XPO Logistics,WH003,"New York, NY",Delayed,2025-04-17
SHP000147,PO001126,DHL,WH006,"Atlanta, GA",Delivered,2026-07-24
SHP000148,PO003000,UPS,WH008,"Seattle, WA",In Transit,2026-01-22
SHP000149,PO000188,FedEx,WH003,"Atlanta, GA",In Transit,2025-08-17
SHP000150,PO000361,Ryder,WH008,"Seattle, WA",Delivered,2025-05-14
SHP000151,PO001103,DHL,WH001,"Atlanta, GA",Exception,2025-08-17
SHP000152,PO002655,Ryder,WH005,"Atlanta, GA",Delivered,2026-03-29
SHP000153,PO001454,DHL,WH003,"Chicago, IL",Exception,2026-03-12
SHP000154,PO001880,J.B. Hunt,WH007,"New York, NY",Delayed,2026-02-15
SHP000155,PO002806,XPO Logistics,WH003,"Dallas, TX",Delayed,2025-04-28
SHP000156,PO000634,FedEx,WH008,"Dallas, TX",Exception,2026-01-15
SHP000157,PO000255,Ryder,WH003,"New York, NY",In Transit,2026-01-16
SHP000158,PO000175,DHL,WH008,"Dallas, TX",Delayed,2025-12-02
SHP000159,PO001564,Ryder,WH001,"Atlanta, GA",Delayed,2025-01-08
SHP000160,PO002456,Ryder,WH006,"New York, NY",Exception,2025-09-24
SHP000161,PO001735,XPO Logistics,WH007,"Atlanta, GA",Delivered,2026-05-12
SHP000162,PO002536,DHL,WH002,"Chicago, IL",Exception,2026-06-15
SHP000163,PO001681,UPS,WH008,"Seattle, WA",In Transit,2025-05-02
SHP000164,PO002848,J.B. Hunt,WH004,"Chicago, IL",Delivered,2026-05-23
SHP000165,PO002667,J.B. Hunt,WH003,"Chicago, IL",Delayed,2025-10-21
SHP000166,PO002275,UPS,WH005,"New York, NY",Delayed,2026-01-07
SHP000167,PO002062,FedEx,WH004,"Atlanta, GA",Delivered,2026-02-01
SHP000168,PO000855,FedEx,WH008,"Seattle, WA",In Transit,2025-11-13
SHP000169,PO000299,XPO Logistics,WH002,"Atlanta, GA",Delayed,2025-11-15
SHP000170,PO001485,Ryder,WH002,"Dallas, TX",Delivered,2025-04-16
SHP000171,PO002988,Ryder,WH008,"Chicago, IL",Delivered,2025-10-27
SHP000172,PO001860,J.B. Hunt,WH004,"Atlanta, GA",Delivered,2025-06-23
SHP000173,PO002225,J.B. Hunt,WH001,"Dallas, TX",Delayed,2025-10-16
SHP000174,PO002604,XPO Logistics,WH002,"Chicago, IL",In Transit,2026-04-15
SHP000175,PO000331,Ryder,WH002,"Atlanta, GA",Exception,2026-05-17
SHP000176,PO001922,DHL,WH004,"New York, NY",Exception,2026-05-29
SHP000177,PO001498,Ryder,WH008,"Atlanta, GA",Delivered,2025-04-09
SHP000178,PO000084,J.B. Hunt,WH005,"Dallas, TX",Delayed,2026-05-15
SHP000179,PO001982,FedEx,WH003,"Chicago, IL",Delivered,2025-07-16
SHP000180,PO002445,DHL,WH002,"New York, NY",Delivered,2026-02-17
SHP000181,PO002903,J.B. Hunt,WH005,"Dallas, TX",Exception,2025-11-30
SHP000182,PO000157,XPO Logistics,WH007,"Atlanta, GA",In Transit,2025-09-08
SHP000183,PO002913,XPO Logistics,WH006,"New York, NY",Delayed,2025-05-10
SHP000184,PO001738,J.B. Hunt,WH001,"Chicago, IL",Exception,2025-05-13
SHP000185,PO001424,XPO Logistics,WH006,"Seattle, WA",In Transit,2026-07-18
SHP000186,PO000474,FedEx,WH001,"New York, NY",In Transit,2026-02-28
SHP000187,PO001107,J.B. Hunt,WH001,"Dallas, TX",Delivered,2026-01-09
SHP000188,PO000992,Ryder,WH004,"Dallas, TX",Delivered,2025-01-08
SHP000189,PO001822,UPS,WH008,"New York, NY",Delivered,2025-12-07
SHP000190,PO002114,XPO Logistics,WH008,"Chicago, IL",In Transit,2026-07-14
SHP000191,PO002779,UPS,WH001,"Seattle, WA",In Transit,2025-02-22
SHP000192,PO002346,J.B. Hunt,WH002,"Seattle, WA",Delivered,2025-03-04
SHP000193,PO001382,UPS,WH008,"Seattle, WA",In Transit,2025-06-20
SHP000194,PO001724,FedEx,WH006,"Atlanta, GA",Exception,2025-06-21
SHP000195,PO000947,Ryder,WH002,"New York, NY",Delivered,2025-12-23
SHP000196,PO000243,FedEx,WH003,"Seattle, WA",Delivered,2026-04-02
SHP000197,PO001553,Ryder,WH005,"Chicago, IL",In Transit,2025-06-20
SHP000198,PO002588,DHL,WH004,"Atlanta, GA",Exception,2025-08-10
SHP000199,PO001357,UPS,WH008,"Atlanta, GA",In Transit,2026-02-04
SHP000200,PO001302,J.B. Hunt,WH002,"Dallas, TX",Delayed,2025-12-26
SHP000201,PO002278,UPS,WH006,"Atlanta, GA",In Transit,2025-08-24
SHP000202,PO002055,UPS,WH004,"Atlanta, GA",Delayed,2026-04-12
SHP000203,PO002090,Ryder,WH002,"Seattle, WA",Exception,2025-08-09
SHP000204,PO002171,DHL,WH006,"New York, NY",Delivered,2025-01-28
SHP000205,PO000491,UPS,WH001,"Chicago, IL",Exception,2026-01-10
SHP000206,PO002430,DHL,WH001,"New York, NY",Exception,2025-03-30
SHP000207,PO000898,XPO Logistics,WH008,"New York, NY",Delayed,2025-03-08
SHP000208,PO000622,Ryder,WH001,"Chicago, IL",Delayed,2025-06-10
SHP000209,PO001409,J.B. Hunt,WH002,"Atlanta, GA",Exception,2026-06-05
SHP000210,PO000452,J.B. Hunt,WH002,"Dallas, TX",Delayed,2025-09-27
SHP000211,PO002272,Ryder,WH003,"New York, NY",Delivered,2026-04-30
SHP000212,PO000355,J.B. Hunt,WH005,"New York, NY",Delayed,2025-12-12
SHP000213,PO000275,J.B. Hunt,WH005,"Dallas, TX",Exception,2025-10-04
SHP000214,PO001853,XPO Logistics,WH003,"New York, NY",Delivered,2025-06-28
SHP000215,PO000562,Ryder,WH001,"Seattle, WA",Exception,2025-12-21
SHP000216,PO000046,FedEx,WH001,"Atlanta, GA",In Transit,2025-01-22
SHP000217,PO000230,FedEx,WH008,"Atlanta, GA",Exception,2025-01-22
SHP000218,PO002691,XPO Logistics,WH006,"Chicago, IL",In Transit,2025-11-26
SHP000219,PO001036,DHL,WH006,"Seattle, WA",In Transit,2025-12-05
SHP000220,PO001681,DHL,WH007,"New York, NY",Delivered,2026-07-15
SHP000221,PO000829,FedEx,WH006,"New York, NY",Delivered,2025-01-02
SHP000222,PO001386,UPS,WH007,"Chicago, IL",Delivered,2025-05-11
SHP000223,PO001939,DHL,WH005,"Seattle, WA",Delayed,2025-07-11
SHP000224,PO002932,UPS,WH006,"Dallas, TX",Delivered,2025-01-05
SHP000225,PO002198,Ryder,WH008,"Chicago, IL",Delivered,2026-02-07
SHP000226,PO001235,XPO Logistics,WH001,"New York, NY",Delayed,2025-10-03
SHP000227,PO002459,Ryder,WH008,"Chicago, IL",Delayed,2026-04-30
SHP000228,PO001335,XPO Logistics,WH008,"Atlanta, GA",Delayed,2026-06-30
SHP000229,PO002646,UPS,WH001,"New York, NY",Exception,2026-01-31
SHP000230,PO001102,XPO Logistics,WH003,"New York, NY",In Transit,2025-12-08
SHP000231,PO001034,Ryder,WH001,"Dallas, TX",Delivered,2025-04-07
SHP000232,PO002862,DHL,WH008,"Atlanta, GA",Exception,2025-09-13
SHP000233,PO000442,FedEx,WH005,"Chicago, IL",Delivered,2026-06-02
SHP000234,PO002831,UPS,WH004,"Dallas, TX",Delivered,2025-06-07
SHP000235,PO000306,DHL,WH008,"Chicago, IL",Delayed,2026-05-04
SHP000236,PO002301,J.B. Hunt,WH003,"New York, NY",In Transit,2026-03-20
SHP000237,PO000415,DHL,WH008,"Atlanta, GA",Exception,2026-01-23
SHP000238,PO001956,UPS,WH006,"New York, NY",Delayed,2025-12-22
SHP000239,PO000154,DHL,WH007,"New York, NY",Exception,2026-07-25
SHP000240,PO000103,Ryder,WH007,"Seattle, WA",Delayed,2025-01-26
SHP000241,PO000046,XPO Logistics,WH003,"Seattle, WA",Delayed,2026-05-28
SHP000242,PO001789,XPO Logistics,WH002,"Chicago, IL",Delayed,2026-06-07
SHP000243,PO002551,FedEx,WH003,"Atlanta, GA",Delivered,2025-02-22
SHP000244,PO001084,XPO Logistics,WH005,"Atlanta, GA",Delayed,2025-09-25
SHP000245,PO000096,DHL,WH008,"New York, NY",In Transit,2025-09-02
SHP000246,PO000787,J.B. Hunt,WH005,"New York, NY",Delayed,2025-05-20
SHP000247,PO000388,XPO Logistics,WH001,"Atlanta, GA",Delayed,2025-10-22
SHP000248,PO001664,DHL,WH001,"Atlanta, GA",Delivered,2025-11-15
SHP000249,PO000762,UPS,WH008,"Dallas, TX",Exception,2025-08-06
SHP000250,PO001545,Ryder,WH002,"Dallas, TX",Exception,2025-12-09
SHP000251,PO001652,Ryder,WH002,"Chicago, IL",Delivered,2026-02-08
SHP000252,PO002999,Ryder,WH006,"Atlanta, GA",Exception,2026-01-08
SHP000253,PO000070,UPS,WH002,"Chicago, IL",Delayed,2025-06-17
SHP000254,PO002097,DHL,WH002,"New York, NY",In Transit,2025-06-05
SHP000255,PO000982,Ryder,WH002,"Dallas, TX",Exception,2026-04-19
SHP000256,PO000203,Ryder,WH007,"Seattle, WA",Delivered,2025-04-21
SHP000257,PO000056,UPS,WH007,"Dallas, TX",Exception,2025-10-29
SHP000258,PO002502,J.B. Hunt,WH001,"New York, NY",Delayed,2026-07-13
SHP000259,PO000188,XPO Logistics,WH002,"Atlanta, GA",Delayed,2025-06-08
SHP000260,PO000258,J.B. Hunt,WH005,"Seattle, WA",In Transit,2026-03-02
SHP000261,PO002036,Ryder,WH005,"Seattle, WA",Delayed,2025-07-30
SHP000262,PO002773,J.B. Hunt,WH004,"New York, NY",Exception,2026-06-14
SHP000263,PO000367,XPO Logistics,WH002,"New York, NY",Exception,2025-03-25
SHP000264,PO000620,XPO Logistics,WH005,"Atlanta, GA",Exception,2026-04-16
SHP000265,PO000608,DHL,WH004,"Dallas, TX",Delivered,2026-07-07
SHP000266,PO000846,UPS,WH002,"Seattle, WA",Exception,2025-11-22
SHP000267,PO000265,DHL,WH004,"Dallas, TX",Delivered,2025-01-29
SHP000268,PO000992,FedEx,WH006,"Atlanta, GA",In Transit,2026-03-06
SHP000269,PO001943,FedEx,WH003,"New York, NY",Exception,2025-11-03
SHP000270,PO001976,J.B. Hunt,WH006,"New York, NY",Delayed,2025-12-11
SHP000271,PO000667,J.B. Hunt,WH006,"Atlanta, GA",Exception,2026-03-10
SHP000272,PO002506,XPO Logistics,WH002,"Chicago, IL",Delivered,2025-06-24
SHP000273,PO001981,J.B. Hunt,WH004,"Seattle, WA",Delivered,2026-05-23
SHP000274,PO000127,J.B. Hunt,WH004,"Atlanta, GA",In Transit,2025-04-22
SHP000275,PO000106,UPS,WH004,"Atlanta, GA",Delayed,2025-04-22
SHP000276,PO000257,UPS,WH003,"Atlanta, GA",Delayed,2025-06-26
SHP000277,PO001389,DHL,WH006,"Atlanta, GA",Delivered,2025-07-05
SHP000278,PO001074,FedEx,WH007,"Chicago, IL",Exception,2025-03-21
SHP000279,PO002911,UPS,WH006,"Dallas, TX",Exception,2025-10-04
SHP000280,PO000269,J.B. Hunt,WH007,"Chicago, IL",Delayed,2025-05-09
SHP000281,PO001834,Ryder,WH001,"Chicago, IL",In Transit,2026-05-23
SHP000282,PO001717,XPO Logistics,WH005,"Dallas, TX",In Transit,2025-04-13
SHP000283,PO000195,Ryder,WH002,"Dallas, TX",In Transit,2026-06-22
SHP000284,PO002770,Ryder,WH008,"Seattle, WA",Exception,2025-01-03
SHP000285,PO002692,DHL,WH004,"Chicago, IL",In Transit,2025-10-31
SHP000286,PO002234,FedEx,WH003,"Seattle, WA",Delayed,2026-03-02
SHP000287,PO001496,Ryder,WH006,"Seattle, WA",In Transit,2025-09-09
SHP000288,PO001194,Ryder,WH007,"Chicago, IL",Delayed,2025-03-17
SHP000289,PO001758,UPS,WH006,"Chicago, IL",Exception,2025-02-08
SHP000290,PO000062,Ryder,WH002,"Atlanta, GA",Delivered,2026-01-04
SHP000291,PO002871,FedEx,WH008,"Chicago, IL",In Transit,2025-12-26
SHP000292,PO000742,J.B. Hunt,WH006,"Dallas, TX",In Transit,2026-01-26
SHP000293,PO001584,J.B. Hunt,WH006,"Chicago, IL",Delayed,2025-11-16
SHP000294,PO002821,Ryder,WH003,"Chicago, IL",Exception,2025-02-22
SHP000295,PO000035,Ryder,WH008,"Chicago, IL",Delayed,2025-10-22
SHP000296,PO002205,FedEx,WH006,"Atlanta, GA",In Transit,2025-09-20
SHP000297,PO001287,XPO Logistics,WH002,"Dallas, TX",In Transit,2025-02-16
SHP000298,PO000298,FedEx,WH005,"Atlanta, GA",In Transit,2025-01-18
SHP000299,PO001344,DHL,WH003,"Chicago, IL",In Transit,2026-04-30
SHP000300,PO001338,J.B. Hunt,WH008,"Dallas, TX",Delayed,2025-02-22
SHP000301,PO001073,J.B. Hunt,WH004,"Chicago, IL",Delayed,2026-03-05
SHP000302,PO002408,DHL,WH007,"Chicago, IL",Delayed,2026-01-10
SHP000303,PO002363,FedEx,WH003,"New York, NY",Delayed,2026-07-23
SHP000304,PO001611,J.B. Hunt,WH008,"Atlanta, GA",Delayed,2025-08-03
SHP000305,PO000522,FedEx,WH001,"Atlanta, GA",Exception,2026-07-28
SHP000306,PO000999,Ryder,WH004,"Chicago, IL",Delayed,2026-05-16
SHP000307,PO001267,J.B. Hunt,WH003,"Seattle, WA",Delivered,2026-04-17
SHP000308,PO000161,J.B. Hunt,WH005,"Dallas, TX",Exception,2025-01-01
SHP000309,PO002943,XPO Logistics,WH006,"Dallas, TX",Delayed,2025-09-15
SHP000310,PO002586,DHL,WH001,"Atlanta, GA",Delivered,2026-04-11
SHP000311,PO000056,DHL,WH006,"New York, NY",Exception,2026-02-06
SHP000312,PO002325,DHL,WH007,"New York, NY",Delivered,2026-02-12
SHP000313,PO000369,UPS,WH004,"Chicago, IL",Exception,2025-05-17
SHP000314,PO000347,FedEx,WH005,"Chicago, IL",Delayed,2025-07-06
SHP000315,PO002107,XPO Logistics,WH004,"Dallas, TX",Delivered,2025-03-04
SHP000316,PO000483,XPO Logistics,WH008,"Dallas, TX",Delivered,2025-02-08
SHP000317,PO000262,UPS,WH006,"New York, NY",In Transit,2026-01-26
SHP000318,PO002124,DHL,WH003,"Dallas, TX",Delivered,2025-04-04
SHP000319,PO000734,XPO Logistics,WH002,"Chicago, IL",In Transit,2026-07-15
SHP000320,PO002313,UPS,WH007,"Dallas, TX",In Transit,2025-08-10
SHP000321,PO002936,Ryder,WH003,"Atlanta, GA",Delayed,2025-01-03
SHP000322,PO000011,UPS,WH003,"Atlanta, GA",Delayed,2025-11-02
SHP000323,PO002872,DHL,WH004,"Dallas, TX",In Transit,2025-06-24
SHP000324,PO001958,Ryder,WH003,"Dallas, TX",In Transit,2025-08-25
SHP000325,PO000988,FedEx,WH004,"Chicago, IL",Delivered,2025-01-28
SHP000326,PO002468,J.B. Hunt,WH003,"New York, NY",Exception,2026-06-24
SHP000327,PO000088,Ryder,WH004,"Atlanta, GA",In Transit,2025-09-29
SHP000328,PO001272,J.B. Hunt,WH002,"Chicago, IL",Delivered,2026-05-16
SHP000329,PO000743,UPS,WH006,"Seattle, WA",Delayed,2025-08-24
SHP000330,PO002689,XPO Logistics,WH003,"New York, NY",Delivered,2026-05-12
SHP000331,PO002749,DHL,WH007,"Seattle, WA",Delayed,2026-06-16
SHP000332,PO001443,FedEx,WH008,"Seattle, WA",Exception,2025-10-20
SHP000333,PO001401,XPO Logistics,WH002,"Atlanta, GA",Delayed,2025-08-09
SHP000334,PO001916,UPS,WH001,"Seattle, WA",Delivered,2026-07-20
SHP000335,PO000725,XPO Logistics,WH004,"Chicago, IL",Delivered,2025-02-25
SHP000336,PO001988,UPS,WH008,"Chicago, IL",Exception,2025-02-26
