order_id,customer_name,product_id,quantity,order_date,warehouse_id
SO0000059,ValueHub,PROD00320,24,2026-02-05,WH004
SO0000060,DailyNeeds,PROD00124,34,2025-01-27,WH002
SO0000061,SmartShop,PROD00416,36,2025-09-27,WH003
SO0000062,NorthStar Retail,PROD00013,40,2025-11-29,WH006
SO0000063,DailyNeeds,PROD00423,50,2025-11-25,WH006
SO0000064,QuickBuy,PROD00469,15,2025-10-22,WH003
SO0000065,FreshMart,PROD00055,20,2025-01-08,WH005
SO0000066,MetroBasket,PROD00087,37,2025-05-03,WH005
SO0000067,BlueWave Stores,PROD00210,31,2025-03-18,WH004
SO0000068,Urban Cart,PROD00016,4,2026-05-11,WH001
SO0000069,MetroBasket,PROD00253,46,2025-07-23,WH005
SO0000070,PrimeOutlet,PROD00212,16,2025-12-08,WH008
SO0000071,NorthStar Retail,PROD00248,6,2025-10-03,WH007
SO0000072,FreshMart,PROD00183,26,2026-01-08,WH008
SO0000073,BlueWave Stores,PROD00088,21,2025-11-11,WH004
SO0000074,DailyNeeds,PROD00319,7,2025-10-28,WH007
SO0000075,ValueHub,PROD00430,13,2025-12-01,WH008
SO0000076,FreshMart,PROD00090,47,2025-04-20,WH005
SO0000077,ValueHub,PROD00013,40,2025-06-27,WH006
SO0000078,SmartShop,PROD00148,31,2025-08-08,WH008
SO0000079,BlueWave Stores,PROD00335,16,2026-06-22,WH004
SO0000080,DailyNeeds,PROD00444,21,2026-03-13,WH007
SO0000081,NorthStar Retail,PROD00090,40,2025-02-16,WH005
SO0000082,Urban Cart,PROD00272,45,2025-09-30,WH006
SO0000083,QuickBuy,PROD00035,50,2025-04-22,WH006
SO0000084,NorthStar Retail,PROD00436,50,2025-03-31,WH004
SO0000085,Urban Cart,PROD00486,30,2025-12-29,WH001
SO0000086,PrimeOutlet,PROD00372,34,2026-01-28,WH001
SO0000087,PrimeOutlet,PROD00127,34,2025-05-05,WH006
SO0000088,MetroBasket,PROD00370,4,2026-04-30,WH004
SO0000089,DailyNeeds,PROD00183,1,2025-05-15,WH008
SO0000090,ValueHub,PROD00299,9,2025-10-06,WH004
SO0000091,MetroBasket,PROD00346,34,2025-08-29,WH001
SO0000092,SmartShop,PROD00478,11,2025-12-23,WH007
SO0000093,ValueHub,PROD00231,36,2025-05-21,WH004
SO0000094,SmartShop,PROD00292,4,2026-03-15,WH006
SO0000095,PrimeOutlet,PROD00499,33,2025-11-29,WH001
SO0000096,DailyNeeds,PROD00154,35,2026-03-02,WH002
SO0000097,QuickBuy,PROD00461,20,2026-03-29,WH007
SO0000098,Urban Cart,PROD00007,32,2025-06-21,WH001
SO0000099,MetroBasket,PROD00133,22,2025-12-12,WH007
SO0000100,MetroBasket,PROD00140,41,2025-10-14,WH003
SO0000101,PrimeOutlet,PROD00234,28,2025-12-14,WH002
SO0000102,ValueHub,PROD00326,46,2026-01-08,WH006
SO0000103,Urban Cart,PROD00264,33,2025-10-22,WH008
SO0000104,QuickBuy,PROD00088,40,2025-05-12,WH004
SO0000105,BlueWave Stores,PROD00163,45,2025-05-02,WH007
SO0000106,ValueHub,PROD00276,2,2026-03-15,WH001
SO0000107,NorthStar Retail,PROD00189,3,2025-05-20,WH007
SO0000108,Urban Cart,PROD00372,20,2025-02-13,WH001
SO0000109,FreshMart,PROD00159,38,2026-01-17,WH001
SO0000110,BlueWave Stores,PROD00059,16,2025-08-26,WH004
SO0000111,BlueWave Stores,PROD00028,21,2025-05-15,WH004
SO0000112,BlueWave Stores,PROD00207,14,2025-11-21,WH001
SO0000113,ValueHub,PROD00049,22,2025-01-06,WH001
SO0000114,NorthStar Retail,PROD00262,34,2026-05-08,WH004
SO0000115,SmartShop,PROD00375,36,2025-07-28,WH006
SO0000116,BlueWave Stores,PROD00232,19,2025-07-06,WH005
SO0000117,QuickBuy,PROD00071,34,2025-11-07,WH003
SO0000118,PrimeOutlet,PROD00075,25,2026-06-22,WH005
SO0000119,PrimeOutlet,PROD00245,40,2026-01-31,WH006
SO0000120,Urban Cart,PROD00118,32,2026-05-18,WH008
SO0000121,SmartShop,PROD00380,29,2025-08-16,WH002
SO0000122,QuickBuy,PROD00337,42,2026-03-28,WH006
SO0000123,Urban Cart,PROD00056,48,2026-02-28,WH003
SO0000124,Urban Cart,PROD00188,24,2025-01-07,WH008
SO0000125,Urban Cart,PROD00496,24,2026-06-12,WH005
SO0000126,FreshMart,PROD00372,5,2025-10-22,WH001
SO0000127,FreshMart,PROD00067,12,2026-06-23,WH003
SO0000128,Urban Cart,PROD00233,13,2025-04-19,WH006
SO0000129,Urban Cart,PROD00365,13,2025-03-06,WH003
SO0000130,NorthStar Retail,PROD00268,41,2025-05-27,WH002
SO0000131,PrimeOutlet,PROD00243,6,2025-11-09,WH004
SO0000132,SmartShop,PROD00195,48,2025-03-02,WH003
SO0000133,BlueWave Stores,PROD00278,34,2025-01-09,WH004
SO0000134,SmartShop,PROD00384,17,2025-09-08,WH004
SO0000135,Urban Cart,PROD00241,14,2026-05-17,WH004
SO0000136,ValueHub,PROD00486,2,2026-04-20,WH001
SO0000137,Urban Cart,PROD00014,50,2026-06-30,WH008
SO0000138,SmartShop,PROD00457,34,2026-04-28,WH007
SO0000139,DailyNeeds,PROD00500,12,2025-03-31,WH004
SO0000140,ValueHub,PROD00128,31,2025-07-05,WH006
SO0000141,ValueHub,PROD00206,17,2026-04-21,WH005
SO0000142,MetroBasket,PROD00472,41,2026-01-07,WH004
SO0000143,DailyNeeds,PROD00163,9,2025-09-30,WH007
SO0000144,Urban Cart,PROD00493,37,2026-01-24,WH001
SO0000145,ValueHub,PROD00473,10,2025-02-03,WH005
SO0000146,MetroBasket,PROD00450,50,2025-04-03,WH001
SO0000147,SmartShop,PROD00004,43,2026-04-10,WH007
SO0000148,BlueWave Stores,PROD00476,26,2025-09-04,WH003
SO0000149,MetroBasket,PROD00115,12,2025-02-24,WH002
SO0000150,BlueWave Stores,PROD00073,42,2026-03-27,WH002
SO0000151,Urban Cart,PROD00256,5,2026-04-26,WH002
SO0000152,FreshMart,PROD00457,13,2026-04-14,WH007
SO0000153,FreshMart,PROD00380,37,2026-03-30,WH002
SO0000154,NorthStar Retail,PROD00419,21,2025-07-10,WH003
SO0000155,Urban Cart,PROD00067,10,2025-07-06,WH003
SO0000156,SmartShop,PROD00456,11,2025-08-08,WH007
SO0000157,SmartShop,PROD00161,21,2025-04-14,WH003
SO0000158,QuickBuy,PROD00050,16,2025-03-19,WH004
SO0000159,FreshMart,PROD00066,11,2025-05-28,WH004
SO0000160,ValueHub,PROD00409,45,2025-11-29,WH001
SO0000161,PrimeOutlet,PROD00171,35,2025-09-08,WH001
SO0000162,ValueHub,PROD00223,36,2025-07-28,WH007
SO0000163,QuickBuy,PROD00118,27,2025-11-12,WH008
SO0000164,DailyNeeds,PROD00326,47,2025-05-06,WH006
SO0000165,DailyNeeds,PROD00373,15,2026-04-20,WH005
SO0000166,SmartShop,PROD00361,19,2025-06-15,WH002
SO0000167,NorthStar Retail,PROD00002,37,2025-09-11,WH007
SO0000168,QuickBuy,PROD00477,17,2025-12-07,WH001
SO0000169,PrimeOutlet,PROD00231,46,2026-05-26,WH004
SO0000170,Urban Cart,PROD00492,29,2025-04-30,WH008
SO0000171,NorthStar Retail,PROD00160,12,2026-03-26,WH003
SO0000172,DailyNeeds,PROD00004,5,2025-06-28,WH007
SO0000173,NorthStar Retail,PROD00307,22,2025-06-15,WH001
SO0000174,PrimeOutlet,PROD00329,30,2025-09-10,WH008
SO0000175,DailyNeeds,PROD00045,47,2026-06-24,WH007
SO0000176,FreshMart,PROD00308,32,2025-04-26,WH007
SO0000177,Urban Cart,PROD00253,38,2025-12-01,WH005
SO0000178,FreshMart,PROD00495,9,2026-06-16,WH008
SO0000179,NorthStar Retail,PROD00344,44,2025-06-02,WH001
SO0000180,Urban Cart,PROD00055,24,2025-04-11,WH005
SO0000181,NorthStar Retail,PROD00279,36,2026-02-11,WH006
SO0000182,Urban Cart,PROD00205,3,2025-07-12,WH003
SO0000183,QuickBuy,PROD00414,49,2025-02-15,WH001
SO0000184,PrimeOutlet,PROD00091,44,2026-05-16,WH004
SO0000185,MetroBasket,PROD00204,33,2026-04-22,WH002
SO0000186,PrimeOutlet,PROD00252,29,2026-06-03,WH003
SO0000187,FreshMart,PROD00395,45,2025-12-24,WH002
SO0000188,MetroBasket,PROD00471,23,2026-01-17,WH006
SO0000189,FreshMart,PROD00229,41,2025-07-09,WH006
SO0000190,NorthStar Retail,PROD00351,49,2026-02-08,WH001
SO0000191,FreshMart,PROD00234,2,2025-02-11,WH002
SO0000192,QuickBuy,PROD00403,16,2025-10-12,WH001
SO0000193,BlueWave Stores,PROD00415,37,2026-02-02,WH004
SO0000194,BlueWave Stores,PROD00050,30,2025-11-25,WH004
SO0000195,ValueHub,PROD00136,11,2025-03-10,WH002
SO0000196,PrimeOutlet,PROD00192,6,2025-08-04,WH007
SO0000197,Urban Cart,PROD00341,42,2025-01-24,WH005
SO0000198,PrimeOutlet,PROD00299,48,2025-06-21,WH004
SO0000199,NorthStar Retail,PROD00286,6,2025-12-23,WH001
SO0000200,FreshMart,PROD00041,31,2025-11-07,WH001
SO0000201,MetroBasket,PROD00447,13,2025-10-11,WH005
SO0000202,PrimeOutlet,PROD00017,13,2025-02-28,WH008
SO0000203,PrimeOutlet,PROD00259,27,2025-01-06,WH003
SO0000204,BlueWave Stores,PROD00046,14,2026-04-27,WH005
SO0000205,BlueWave Stores,PROD00322,39,2026-05-27,WH004
SO0000206,Urban Cart,PROD00441,26,2025-04-28,WH008
SO0000207,Urban Cart,PROD00170,47,2025-02-19,WH005
SO0000208,BlueWave Stores,PROD00378,14,2025-06-05,WH008
SO0000209,BlueWave Stores,PROD00178,44,2025-06-11,WH007
SO0000210,SmartShop,PROD00468,30,2026-04-17,WH006
SO0000211,NorthStar Retail,PROD00090,8,2025-05-23,WH005
SO0000212,BlueWave Stores,PROD00413,8,2025-04-02,WH003
SO0000213,SmartShop,PROD00077,7,2026-01-27,WH008
SO0000214,Urban Cart,PROD00207,3,2025-05-13,WH001
SO0000215,PrimeOutlet,PROD00086,47,2025-05-04,WH002
SO0000216,DailyNeeds,PROD00488,9,2025-02-02,WH005
SO0000217,MetroBasket,PROD00087,49,2025-12-18,WH005
SO0000218,FreshMart,PROD00182,13,2026-03-25,WH003
SO0000219,NorthStar Retail,PROD00257,19,2025-08-08,WH008
SO0000220,SmartShop,PROD00265,25,2025-07-17,WH008
SO0000221,FreshMart,PROD00205,35,2025-12-12,WH003
SO0000222,Urban Cart,PROD00032,30,2025-01-14,WH001
SO0000223,MetroBasket,PROD00233,7,2025-11-05,WH006
SO0000224,QuickBuy,PROD00022,12,2025-06-03,WH001
SO0000225,BlueWave Stores,PROD00154,19,2025-04-13,WH002
SO0000226,MetroBasket,PROD00016,44,2025-01-24,WH001
SO0000227,MetroBasket,PROD00159,9,2026-02-09,WH001
SO0000228,NorthStar Retail,PROD00171,37,2025-12-12,WH001
SO0000229,Urban Cart,PROD00331,10,2025-12-01,WH008
SO0000230,SmartShop,PROD00089,9,2025-10-21,WH002
SO0000231,PrimeOutlet,PROD00239,13,2025-01-18,WH008
SO0000232,ValueHub,PROD00370,47,2026-01-11,WH004
SO0000233,BlueWave Stores,PROD00180,48,2026-01-25,WH004
SO0000234,FreshMart,PROD00203,46,2025-01-02,WH005
SO0000235,Urban Cart,PROD00176,50,2025-12-20,WH001
SO0000236,NorthStar Retail,PROD00225,50,2026-05-24,WH008
SO0000237,FreshMart,PROD00479,30,2025-04-10,WH004
SO0000238,Urban Cart,PROD00008,18,2025-05-02,WH004
SO0000239,SmartShop,PROD00089,23,2025-07-15,WH002
SO0000240,MetroBasket,PROD00226,24,2025-12-01,WH006
SO0000241,QuickBuy,PROD00159,49,2026-02-01,WH001
SO0000242,FreshMart,PROD00305,2,2025-05-14,WH003
SO0000243,BlueWave Stores,PROD00399,48,2025-09-23,WH001
SO0000244,NorthStar Retail,PROD00301,10,2025-06-09,WH002
SO0000245,NorthStar Retail,PROD00161,28,2026-05-09,WH003
SO0000246,ValueHub,PROD00038,40,2025-05-07,WH007
SO0000247,DailyNeeds,PROD00261,15,2025-06-15,WH004
SO0000248,QuickBuy,PROD00198,4,2026-05-22,WH006
SO0000249,PrimeOutlet,PROD00330,40,2025-06-20,WH006
SO0000250,DailyNeeds,PROD00488,47,2025-03-04,WH005
SO0000251,SmartShop,PROD00452,28,2025-03-29,WH008
SO0000252,SmartShop,PROD00368,15,2025-01-23,WH004
SO0000253,Urban Cart,PROD00409,19,2025-05-14,WH001
SO0000254,BlueWave Stores,PROD00300,22,2026-06-28,WH008
SO0000255,QuickBuy,PROD00108,11,2025-11-24,WH008
SO0000256,FreshMart,PROD00016,45,2025-01-08,WH001
SO0000257,NorthStar Retail,PROD00172,16,2025-10-20,WH007
SO0000258,BlueWave Stores,PROD00368,2,2025-03-02,WH004
SO0000259,SmartShop,PROD00098,32,2026-01-07,WH007
SO0000260,ValueHub,PROD00363,28,2026-04-08,WH003
SO0000261,PrimeOutlet,PROD00257,5,2025-11-12,WH008
SO0000262,DailyNeeds,PROD00192,38,2026-01-15,WH007
SO0000263,ValueHub,PROD00171,19,2025-12-23,WH001
SO0000264,Urban Cart,PROD00234,16,2026-03-12,WH002
SO0000265,DailyNeeds,PROD00108,7,2025-09-15,WH008
SO0000266,QuickBuy,PROD00261,30,2025-05-21,WH004
SO0000267,NorthStar Retail,PROD00034,8,2026-03-21,WH003
SO0000268,MetroBasket,PROD00347,4,2025-02-15,WH008
SO0000269,MetroBasket,PROD00001,8,2025-05-02,WH003
SO0000270,FreshMart,PROD00169,2,2025-02-09,WH006
SO0000271,MetroBasket,PROD00032,15,2026-02-27,WH001
SO0000272,DailyNeeds,PROD00168,26,2025-04-13,WH003
SO0000273,BlueWave Stores,PROD00382,32,2025-10-10,WH004
SO0000274,SmartShop,PROD00298,34,2025-06-15,WH001
SO0000275,MetroBasket,PROD00389,1,2025-02-13,WH006
SO0000276,BlueWave Stores,PROD00257,47,2026-06-14,WH008
SO0000277,DailyNeeds,PROD00183,7,2026-01-11,WH008
SO0000278,PrimeOutlet,PROD00381,2,2025-06-01,WH003
SO0000279,ValueHub,PROD00364,46,2025-04-21,WH002
SO0000280,DailyNeeds,PROD00367,6,2025-03-04,WH002
SO0000281,MetroBasket,PROD00057,3,2025-07-20,WH001
SO0000282,DailyNeeds,PROD00220,7,2026-02-23,WH006
SO0000283,NorthStar Retail,PROD00083,30,2025-09-10,WH008
SO0000284,ValueHub,PROD00321,6,2025-08-23,WH008
SO0000285,QuickBuy,PROD00168,24,2025-02-18,WH003
SO0000286,QuickBuy,PROD00299,32,2026-06-28,WH004
SO0000287,FreshMart,PROD00418,26,2025-11-04,WH006
SO0000288,BlueWave Stores,PROD00482,46,2025-06-29,WH005
SO0000289,NorthStar Retail,PROD00278,2,2025-07-21,WH004
SO0000290,Urban Cart,PROD00482,23,2026-03-22,WH005
SO0000291,MetroBasket,PROD00416,44,2026-06-29,WH003
SO0000292,DailyNeeds,PROD00210,28,2025-12-30,WH004
SO0000293,PrimeOutlet,PROD00229,17,2026-03-16,WH006
SO0000294,NorthStar Retail,PROD00335,14,2026-05-24,WH004
SO0000295,MetroBasket,PROD00279,1,2025-05-04,WH006
SO0000296,FreshMart,PROD00464,43,2025-12-08,WH006
SO0000297,PrimeOutlet,PROD00108,26,2025-07-25,WH008
SO0000298,DailyNeeds,PROD00271,17,2025-06-10,WH002
SO0000299,SmartShop,PROD00057,28,2026-03-24,WH001
SO0000300,BlueWave Stores,PROD00099,23,2025-06-02,WH001
SO0000301,MetroBasket,PROD00294,16,2025-03-07,WH008
SO0000302,DailyNeeds,PROD00134,2,2025-05-22,WH001
SO0000303,NorthStar Retail,PROD00384,18,2025-02-02,WH004
SO0000304,SmartShop,PROD00342,28,2026-02-17,WH001
SO0000305,QuickBuy,PROD00252,22,2025-04-13,WH003
SO0000306,BlueWave Stores,PROD00212,8,2025-01-26,WH008
SO0000307,DailyNeeds,PROD00043,38,2025-02-21,WH004
SO0000308,DailyNeeds,PROD00131,8,2026-05-13,WH007
SO0000309,NorthStar Retail,PROD00149,2,2025-09-16,WH003
SO0000310,PrimeOutlet,PROD00168,16,2025-09-26,WH003
SO0000311,PrimeOutlet,PROD00268,49,2025-03-11,WH002
SO0000312,PrimeOutlet,PROD00303,1,2025-10-04,WH001
SO0000313,FreshMart,PROD00365,43,2025-11-19,WH003
SO0000314,ValueHub,PROD00217,12,2025-03-09,WH002
SO0000315,QuickBuy,PROD00113,40,2025-02-13,WH002
SO0000316,NorthStar Retail,PROD00279,38,2026-05-29,WH006
SO0000317,PrimeOutlet,PROD00397,32,2025-11-01,WH003
SO0000318,PrimeOutlet,PROD00033,34,2026-02-09,WH007
SO0000319,FreshMart,PROD00448,42,2026-05-20,WH008
SO0000320,FreshMart,PROD00439,30,2025-03-08,WH003
SO0000321,BlueWave Stores,PROD00452,27,2026-03-26,WH008
SO0000322,PrimeOutlet,PROD00455,36,2026-01-27,WH003
SO0000323,BlueWave Stores,PROD00158,27,2025-10-27,WH002
SO0000324,BlueWave Stores,PROD00177,10,2026-01-27,WH003
SO0000325,DailyNeeds,PROD00202,19,2025-08-10,WH007
SO0000326,DailyNeeds,PROD00433,31,2025-02-20,WH002
SO0000327,FreshMart,PROD00107,15,2025-09-30,WH005
SO0000328,ValueHub,PROD00183,28,2025-06-28,WH008
SO0000329,FreshMart,PROD00006,48,2025-07-07,WH003
SO0000330,PrimeOutlet,PROD00176,39,2026-06-12,WH001
SO0000331,PrimeOutlet,PROD00112,37,2025-10-24,WH007
SO0000332,PrimeOutlet,PROD00473,29,2025-04-27,WH005
SO0000333,BlueWave Stores,PROD00310,46,2025-01-16,WH005
SO0000334,Urban Cart,PROD00315,28,2025-09-28,WH004
SO0000335,NorthStar Retail,PROD00250,14,2025-05-23,WH005
SO0000336,NorthStar Retail,PROD00324,33,2026-04-24,WH007
SO0000337,MetroBasket,PROD00251,11,2026-04-17,WH004
SO0000338,BlueWave Stores,PROD00104,27,2025-04-19,WH003
SO0000339,Urban Cart,PROD00056,43,2025-02-26,WH003
SO0000340,QuickBuy,PROD00167,7,2025-01-29,WH004
SO0000341,FreshMart,PROD00487,24,2025-03-27,WH002
SO0000342,PrimeOutlet,PROD00361,33,2026-06-10,WH002
SO0000343,Urban Cart,PROD00371,8,2026-04-05,WH003
SO0000344,DailyNeeds,PROD00246,2,2025-03-27,WH005
SO0000345,PrimeOutlet,PROD00389,19,2026-05-31,WH006
SO0000346,NorthStar Retail,PROD00455,5,2026-06-05,WH003
SO0000347,QuickBuy,PROD00302,20,2026-02-13,WH003
SO0000348,Urban Cart,PROD00239,49,2025-05-22,WH008
SO0000349,DailyNeeds,PROD00163,23,2025-05-04,WH007
SO0000350,MetroBasket,PROD00118,48,2026-06-19,WH008
SO0000351,PrimeOutlet,PROD00036,29,2025-08-27,WH003
SO0000352,ValueHub,PROD00482,29,2026-06-04,WH005
SO0000353,MetroBasket,PROD00353,12,2025-01-12,WH008
SO0000354,NorthStar Retail,PROD00493,17,2025-03-05,WH001
SO0000355,SmartShop,PROD00325,31,2025-02-17,WH007
SO0000356,DailyNeeds,PROD00300,43,2025-11-24,WH008
SO0000357,Urban Cart,PROD00241,13,2025-04-06,WH004
SO0000358,PrimeOutlet,PROD00060,6,2026-01-25,WH007
SO0000359,PrimeOutlet,PROD00212,26,2025-11-03,WH008
SO0000360,BlueWave Stores,PROD00038,11,2025-04-04,WH007
SO0000361,DailyNeeds,PROD00158,44,2026-06-08,WH002
SO0000362,Urban Cart,PROD00497,39,2025-10-04,WH002
SO0000363,MetroBasket,PROD00083,33,2026-03-10,WH008
SO0000364,DailyNeeds,PROD00471,47,2025-06-04,WH006
SO0000365,PrimeOutlet,PROD00475,43,2026-02-06,WH003
SO0000366,NorthStar Retail,PROD00431,18,2026-05-04,WH008
SO0000367,PrimeOutlet,PROD00140,23,2025-02-14,WH003
SO0000368,BlueWave Stores,PROD00167,17,2025-08-23,WH004
SO0000369,PrimeOutlet,PROD00340,28,2025-04-01,WH007
SO0000370,ValueHub,PROD00007,28,2025-04-26,WH001
SO0000371,DailyNeeds,PROD00255,36,2025-02-15,WH008
SO0000372,Urban Cart,PROD00008,32,2025-09-12,WH004
SO0000373,MetroBasket,PROD00197,36,2025-10-18,WH006
SO0000374,ValueHub,PROD00085,47,2025-08-18,WH008
SO0000375,ValueHub,PROD00138,7,2026-01-22,WH001
SO0000376,PrimeOutlet,PROD00246,43,2026-04-17,WH005
SO0000377,Urban Cart,PROD00098,19,2026-02-12,WH007
SO0000378,PrimeOutlet,PROD00238,27,2025-02-16,WH006
SO0000379,PrimeOutlet,PROD00167,25,2025-10-17,WH004
SO0000380,MetroBasket,PROD00274,16,2026-01-28,WH001
SO0000381,PrimeOutlet,PROD00454,28,2025-09-29,WH004
SO0000382,QuickBuy,PROD00160,29,2025-01-27,WH003
SO0000383,QuickBuy,PROD00445,10,2026-06-08,WH005
SO0000384,DailyNeeds,PROD00190,1,2025-03-08,WH003
SO0000385,MetroBasket,PROD00234,22,2025-06-06,WH002
SO0000386,SmartShop,PROD00223,10,2025-04-15,WH007
SO0000387,ValueHub,PROD00206,38,2025-06-13,WH005
SO0000388,SmartShop,PROD00291,18,2025-09-06,WH003
SO0000389,NorthStar Retail,PROD00418,33,2025-05-09,WH006
SO0000390,QuickBuy,PROD00152,35,2025-08-16,WH004
SO0000391,MetroBasket,PROD00092,45,2026-02-14,WH002
SO0000392,FreshMart,PROD00174,40,2026-05-29,WH003
SO0000393,SmartShop,PROD00091,9,2025-02-12,WH004
SO0000394,SmartShop,PROD00079,31,2025-09-22,WH006
SO0000395,MetroBasket,PROD00078,29,2025-06-04,WH004
SO0000396,SmartShop,PROD00376,2,2025-03-11,WH001
SO0000397,BlueWave Stores,PROD00492,20,2025-03-06,WH008
SO0000398,FreshMart,PROD00004,8,2025-03-17,WH007
SO0000399,ValueHub,PROD00487,43,2025-09-12,WH002
SO0000400,FreshMart,PROD00093,46,2025-06-17,WH005
SO0000401,BlueWave Stores,PROD00304,15,2026-02-22,WH005
SO0000402,DailyNeeds,PROD00075,47,2025-08-07,WH005
SO0000403,NorthStar Retail,PROD00389,22,2026-02-22,WH006
SO0000404,FreshMart,PROD00219,3,2025-07-11,WH002
SO0000405,ValueHub,PROD00329,36,2025-09-18,WH008
SO0000406,BlueWave Stores,PROD00340,26,2026-06-08,WH007
SO0000407,NorthStar Retail,PROD00232,11,2025-12-07,WH005
SO0000408,QuickBuy,PROD00158,49,2026-01-04,WH002
SO0000409,DailyNeeds,PROD00250,10,2025-11-06,WH005
SO0000410,BlueWave Stores,PROD00415,40,2025-09-26,WH004
SO0000411,SmartShop,PROD00360,21,2025-04-10,WH001
SO0000412,FreshMart,PROD00126,45,2025-02-02,WH006
SO0000413,QuickBuy,PROD00438,2,2025-10-24,WH003
SO0000414,SmartShop,PROD00379,5,2026-03-03,WH002
SO0000415,DailyNeeds,PROD00179,48,2026-04-27,WH003
SO0000416,MetroBasket,PROD00249,9,2025-03-08,WH002
SO0000417,PrimeOutlet,PROD00459,35,2025-09-22,WH005
SO0000418,MetroBasket,PROD00092,35,2025-02-12,WH002
SO0000419,SmartShop,PROD00389,30,2025-01-03,WH006
SO0000420,BlueWave Stores,PROD00410,18,2025-05-29,WH003
SO0000421,DailyNeeds,PROD00015,18,2025-03-23,WH006
SO0000422,MetroBasket,PROD00400,7,2026-02-28,WH003
SO0000423,ValueHub,PROD00075,40,2025-08-20,WH005
SO0000424,SmartShop,PROD00005,41,2025-07-09,WH005
SO0000425,QuickBuy,PROD00353,35,2026-01-21,WH008
SO0000426,PrimeOutlet,PROD00112,43,2026-03-09,WH007
SO0000427,PrimeOutlet,PROD00400,26,2025-09-12,WH003
SO0000428,QuickBuy,PROD00197,33,2026-03-27,WH006
