po_number,supplier_id,product_id,quantity,unit_price,order_value,order_date,expected_delivery_date,actual_delivery_date,status,delay_reason
PO000034,SUP019,PROD00484,2358,976.11,2301667.38,2025-06-21,2025-06-26,2025-06-27,Delivered,
PO000035,SUP006,PROD00328,2418,441.67,1067958.06,2025-09-24,2025-10-13,,In Transit,
PO000036,SUP010,PROD00080,161,349.29,56235.69,2025-06-23,2025-07-12,2025-07-27,Delayed,Raw material shortage
PO000037,SUP007,PROD00483,364,1070.1,389516.4,2025-10-21,2025-11-07,2025-11-12,Delivered,
PO000038,SUP007,PROD00044,1177,273.45,321850.65,2025-10-12,2025-10-26,2025-10-27,Delivered,
PO000039,SUP006,PROD00433,2473,1177.98,2913144.54,2025-09-21,2025-10-09,2025-11-03,Delayed,Carrier capacity shortage
PO000040,SUP008,PROD00304,1120,956.08,1070809.6,2025-06-04,2025-06-16,2025-06-15,Delivered,
PO000041,SUP016,PROD00399,185,217.21,40183.85,2025-08-30,2025-09-11,2025-09-16,Delivered,
PO000042,SUP018,PROD00382,2489,113.91,283521.99,2025-12-18,2025-12-29,,Open,
PO000043,SUP012,PROD00015,1741,792.48,1379707.68,2025-06-07,2025-06-19,,In Transit,
PO000044,SUP020,PROD00215,2416,604.67,1460882.72,2026-01-28,2026-02-22,2026-03-05,Delayed,Carrier capacity shortage
PO000045,SUP012,PROD00444,265,7.63,2021.95,2025-12-20,2025-12-25,2025-12-23,Delivered,
PO000046,SUP020,PROD00170,2000,289.94,579880.0,2025-06-21,2025-07-23,2025-07-24,Delivered,
PO000047,SUP017,PROD00289,1993,314.19,626180.67,2026-06-30,2026-07-25,2026-07-28,Delivered,
PO000048,SUP007,PROD00446,98,262.63,25737.74,2025-09-26,2025-10-08,2025-10-11,Delivered,
PO000049,SUP010,PROD00393,2221,981.78,2180533.38,2025-10-23,2025-11-24,2025-11-26,Delivered,
PO000050,SUP006,PROD00415,1499,693.65,1039781.35,2025-02-12,2025-03-05,,Open,
PO000051,SUP011,PROD00293,1166,31.99,37300.34,2026-03-19,2026-04-07,,Open,
PO000052,SUP005,PROD00247,1095,288.1,315469.5,2025-12-10,2025-12-24,2025-12-22,Delivered,
PO000053,SUP008,PROD00410,1040,270.59,281413.6,2026-02-05,2026-02-17,,In Transit,
PO000054,SUP002,PROD00100,1333,1047.5,1396317.5,2025-07-19,2025-08-01,2025-07-31,Delivered,
PO000055,SUP020,PROD00037,450,50.72,22824.0,2025-01-11,2025-01-29,2025-02-04,Delayed,Customs clearance delay
PO000056,SUP014,PROD00387,948,155.79,147688.92,2026-06-22,2026-06-28,2026-06-30,Delivered,
PO000057,SUP003,PROD00375,426,199.37,84931.62,2025-10-18,2025-11-01,2025-10-29,Delivered,
PO000058,SUP011,PROD00452,938,607.15,569506.7,2025-02-28,2025-03-19,,In Transit,
PO000059,SUP001,PROD00244,1589,739.83,1175589.87,2025-05-05,2025-05-11,2025-05-10,Delivered,
PO000060,SUP014,PROD00055,1256,105.32,132281.92,2025-07-09,2025-07-15,2025-07-16,Delivered,
PO000061,SUP006,PROD00497,1374,1041.43,1430924.82,2026-04-24,2026-05-14,2026-05-28,Delayed,Customs clearance delay
PO000062,SUP019,PROD00198,1185,783.1,927973.5,2025-09-21,2025-09-28,,In Transit,
PO000063,SUP020,PROD00037,1107,50.72,56147.04,2025-03-05,2025-04-04,2025-04-01,Delivered,
PO000064,SUP002,PROD00100,871,1047.5,912372.5,2025-09-29,2025-10-06,2025-10-10,Delivered,
PO000065,SUP020,PROD00160,2264,198.89,450286.96,2026-02-07,2026-03-02,2026-03-11,Delayed,Carrier capacity shortage
PO000066,SUP020,PROD00213,485,208.76,101248.6,2026-03-18,2026-04-11,,In Transit,
PO000067,SUP017,PROD00236,338,201.62,68147.56,2026-03-29,2026-04-24,2026-04-22,Delivered,
PO000068,SUP016,PROD00374,659,1062.04,699884.36,2025-09-14,2025-09-26,2025-09-30,Delivered,
PO000069,SUP009,PROD00334,1400,629.99,881986.0,2025-01-01,2025-01-20,2025-02-03,Delayed,Carrier capacity shortage
PO000070,SUP002,PROD00406,2008,919.74,1846837.92,2026-02-05,2026-02-19,2026-02-23,Delivered,
PO000071,SUP015,PROD00398,975,445.18,434050.5,2026-03-23,2026-04-08,2026-04-16,Delayed,Weather disruption
PO000072,SUP005,PROD00270,2024,463.7,938528.8,2025-01-04,2025-01-20,,Open,
PO000073,SUP018,PROD00349,1415,490.78,694453.7,2025-05-05,2025-05-24,2025-05-26,Delivered,
PO000074,SUP016,PROD00205,1546,596.4,922034.4,2025-11-07,2025-11-18,2025-11-16,Delivered,
PO000075,SUP013,PROD00204,881,32.7,28808.7,2025-12-15,2025-12-26,2026-01-10,Delayed,Raw material shortage
PO000076,SUP004,PROD00128,832,481.48,400591.36,2025-06-30,2025-07-13,2025-07-16,Delivered,
PO000077,SUP018,PROD00159,1521,611.69,930380.49,2025-11-03,2025-11-24,2025-11-22,Delivered,
PO000078,SUP018,PROD00057,1843,28.16,51898.88,2026-05-14,2026-05-25,,Open,
PO000079,SUP008,PROD00122,2478,22.76,56399.28,2025-07-14,2025-07-21,2025-07-18,Delivered,
PO000080,SUP020,PROD00170,1310,289.94,379821.4,2025-09-02,2025-10-05,2025-10-10,Delivered,
PO000081,SUP005,PROD00261,1890,86.22,162955.8,2026-05-27,2026-06-14,,Open,
PO000082,SUP013,PROD00041,225,234.25,52706.25,2025-01-17,2025-01-27,2025-01-29,Delivered,
PO000083,SUP020,PROD00108,1927,765.76,1475619.52,2026-02-20,2026-03-13,2026-03-18,Delivered,
PO000084,SUP013,PROD00439,201,662.84,133230.84,2025-06-02,2025-06-23,2025-06-21,Delivered,
PO000085,SUP003,PROD00319,1980,517.93,1025501.4,2025-05-25,2025-06-11,,In Transit,
PO000086,SUP003,PROD00296,584,250.91,146531.44,2025-02-16,2025-03-01,,In Transit,
PO000087,SUP013,PROD00036,1308,771.57,1009213.56,2025-01-15,2025-01-27,,In Transit,
PO000088,SUP017,PROD00164,2470,855.12,2112146.4,2025-04-10,2025-05-12,,In Transit,
PO000089,SUP017,PROD00135,308,114.65,35312.2,2025-03-07,2025-03-28,2025-03-28,Delivered,
PO000090,SUP011,PROD00392,1378,51.35,70760.3,2025-07-27,2025-08-12,2025-08-15,Delivered,
PO000091,SUP010,PROD00040,236,865.11,204165.96,2025-05-04,2025-06-08,2025-06-08,Delivered,
PO000092,SUP001,PROD00244,628,739.83,464613.24,2025-06-27,2025-07-07,2025-07-08,Delivered,
PO000093,SUP015,PROD00314,2316,878.46,2034513.36,2026-03-02,2026-03-14,,In Transit,
PO000094,SUP019,PROD00162,596,444.57,264963.72,2025-06-18,2025-06-30,2025-06-27,Delivered,
PO000095,SUP015,PROD00320,696,625.74,435515.04,2025-04-13,2025-05-05,2025-05-30,Delayed,Customs clearance delay
PO000096,SUP011,PROD00152,784,543.38,426009.92,2025-01-17,2025-02-03,2025-01-31,Delivered,
PO000097,SUP020,PROD00404,569,675.94,384609.86,2025-04-02,2025-04-29,2025-05-03,Delivered,
PO000098,SUP019,PROD00038,1894,143.2,271220.8,2025-07-31,2025-08-07,2025-08-12,Delivered,
PO000099,SUP013,PROD00286,204,859.71,175380.84,2026-02-26,2026-03-11,,Open,
PO000100,SUP011,PROD00167,1283,1117.34,1433547.22,2025-07-04,2025-07-25,2025-07-23,Delivered,
PO000101,SUP018,PROD00159,836,611.69,511372.84,2025-12-23,2026-01-08,2026-01-08,Delivered,
PO000102,SUP018,PROD00071,1532,382.08,585346.56,2025-05-01,2025-05-19,,Cancelled,
PO000103,SUP018,PROD00239,1182,841.96,995196.72,2026-06-04,2026-06-17,2026-06-17,Delivered,
PO000104,SUP011,PROD00457,1993,1148.26,2288482.18,2025-02-24,2025-03-09,2025-03-08,Delivered,
PO000105,SUP020,PROD00282,271,364.02,98649.42,2026-05-25,2026-06-17,2026-06-14,Delivered,
PO000106,SUP013,PROD00474,1419,267.74,379923.06,2026-01-08,2026-01-22,2026-01-23,Delivered,
PO000107,SUP020,PROD00082,2251,952.19,2143379.69,2026-04-10,2026-04-29,2026-04-26,Delivered,
PO000108,SUP013,PROD00385,525,666.55,349938.75,2025-06-30,2025-07-12,2025-08-02,Delayed,Weather disruption
PO000109,SUP002,PROD00489,2477,1058.45,2621780.65,2025-03-14,2025-03-22,,In Transit,
PO000110,SUP004,PROD00418,992,377.95,374926.4,2025-11-30,2025-12-11,2025-12-13,Delivered,
PO000111,SUP002,PROD00154,1739,816.28,1419510.92,2025-04-23,2025-05-03,2025-05-03,Delivered,
PO000112,SUP016,PROD00158,2446,1137.46,2782227.16,2025-07-24,2025-08-04,2025-08-12,Delayed,Customs clearance delay
PO000113,SUP011,PROD00281,643,1138.84,732274.12,2026-05-12,2026-05-22,,Open,
PO000114,SUP016,PROD00132,1579,189.9,299852.1,2025-08-10,2025-08-24,2025-08-27,Delivered,
PO000115,SUP002,PROD00454,1154,68.41,78945.14,2025-05-20,2025-06-01,2025-06-03,Delivered,
PO000116,SUP011,PROD00469,1199,33.38,40022.62,2025-07-27,2025-08-11,2025-08-08,Delivered,
PO000117,SUP002,PROD00386,1928,476.79,919251.12,2025-05-20,2025-05-26,,In Transit,
PO000118,SUP009,PROD00357,692,1090.42,754570.64,2026-03-05,2026-03-28,2026-04-10,Delayed,Supplier production delay
PO000119,SUP019,PROD00148,990,818.95,810760.5,2025-06-24,2025-07-08,,Open,
PO000120,SUP020,PROD00402,2473,272.41,673669.93,2025-03-30,2025-04-30,2025-05-21,Delayed,Carrier capacity shortage
PO000121,SUP018,PROD00272,1060,277.63,294287.8,2026-04-30,2026-05-17,2026-05-20,Delivered,
PO000122,SUP005,PROD00140,2473,1134.66,2806014.18,2025-09-11,2025-09-26,2025-09-26,Delivered,
PO000123,SUP020,PROD00108,214,765.76,163872.64,2025-06-02,2025-06-20,2025-06-17,Delivered,
PO000124,SUP020,PROD00082,1665,952.19,1585396.35,2026-04-27,2026-05-31,2026-06-05,Delivered,
PO000125,SUP006,PROD00147,1035,310.88,321760.8,2026-05-06,2026-05-27,,In Transit,
PO000126,SUP007,PROD00035,593,271.39,160934.27,2025-03-27,2025-04-14,2025-05-03,Delayed,Carrier capacity shortage
PO000127,SUP017,PROD00194,115,998.51,114828.65,2026-01-03,2026-01-30,2026-01-28,Delivered,
PO000128,SUP008,PROD00058,2386,906.31,2162455.66,2026-05-07,2026-05-16,2026-05-20,Delivered,
PO000129,SUP013,PROD00471,1710,383.1,655101.0,2025-01-25,2025-02-11,2025-02-10,Delivered,
PO000130,SUP004,PROD00125,339,514.4,174381.6,2025-07-09,2025-07-19,2025-07-16,Delivered,
PO000131,SUP013,PROD00179,1264,527.16,666330.24,2026-01-30,2026-02-20,2026-02-17,Delivered,
PO000132,SUP012,PROD00110,2406,944.88,2273381.28,2026-03-13,2026-03-22,2026-03-27,Delivered,
PO000133,SUP005,PROD00368,1425,365.61,520994.25,2025-08-01,2025-08-23,,In Transit,
PO000134,SUP011,PROD00086,1540,492.98,759189.2,2025-02-26,2025-03-16,,Open,
PO000135,SUP013,PROD00474,217,267.74,58099.58,2025-02-22,2025-03-05,2025-03-09,Delivered,
PO000136,SUP012,PROD00491,324,426.71,138254.04,2026-01-10,2026-01-20,2026-01-25,Delivered,
PO000137,SUP019,PROD00308,1027,255.8,262706.6,2025-07-29,2025-08-05,,Cancelled,
PO000138,SUP006,PROD00462,909,632.85,575260.65,2025-04-27,2025-05-30,2025-06-23,Delayed,Raw material shortage
PO000139,SUP011,PROD00461,2112,188.68,398492.16,2025-08-19,2025-09-03,2025-09-04,Delivered,
PO000140,SUP020,PROD00037,1464,50.72,74254.08,2026-03-10,2026-04-05,2026-04-07,Delivered,
PO000141,SUP015,PROD00182,1975,204.14,403176.5,2026-04-09,2026-04-26,2026-04-24,Delivered,
PO000142,SUP013,PROD00326,1557,230.43,358779.51,2026-06-29,2026-07-19,2026-08-03,Delayed,Customs clearance delay
PO000143,SUP015,PROD00176,1925,997.31,1919821.75,2025-03-09,2025-03-22,,Open,
PO000144,SUP010,PROD00092,1231,600.56,739289.36,2025-03-31,2025-04-20,2025-04-19,Delivered,
PO000145,SUP017,PROD00008,656,649.56,426111.36,2025-03-20,2025-04-10,2025-04-08,Delivered,
PO000146,SUP002,PROD00177,142,355.66,50503.72,2026-05-24,2026-05-31,2026-06-22,Delayed,Raw material shortage
PO000147,SUP011,PROD00339,2267,502.43,1139008.81,2025-10-28,2025-11-13,,Open,
PO000148,SUP005,PROD00097,137,1186.15,162502.55,2025-05-16,2025-06-02,2025-06-06,Delivered,
PO000149,SUP001,PROD00104,2178,554.19,1207025.82,2025-10-26,2025-11-03,2025-11-03,Delivered,
PO000150,SUP009,PROD00407,1386,1196.98,1659014.28,2025-12-10,2026-01-10,,In Transit,
PO000151,SUP005,PROD00270,2221,463.7,1029877.7,2026-05-13,2026-06-01,,In Transit,
PO000152,SUP007,PROD00146,1305,639.07,833986.35,2026-04-01,2026-04-18,2026-04-17,Delivered,
PO000153,SUP003,PROD00467,1573,387.77,609962.21,2025-06-25,2025-07-17,2025-07-21,Delivered,
PO000154,SUP002,PROD00031,1917,518.6,994156.2,2025-10-23,2025-10-28,2025-10-29,Delivered,
PO000155,SUP013,PROD00400,2242,345.66,774969.72,2025-06-20,2025-07-09,,Open,
PO000156,SUP013,PROD00143,678,350.97,237957.66,2025-10-20,2025-11-01,,Cancelled,
PO000157,SUP001,PROD00389,2403,626.03,1504350.09,2025-06-15,2025-06-23,2025-06-25,Delivered,
PO000158,SUP010,PROD00040,890,865.11,769947.9,2025-05-10,2025-06-11,2025-06-10,Delivered,
PO000159,SUP013,PROD00326,655,230.43,150931.65,2025-02-05,2025-02-25,2025-02-27,Delivered,
PO000160,SUP016,PROD00301,2235,668.12,1493248.2,2026-01-17,2026-01-29,2026-01-28,Delivered,
PO000161,SUP013,PROD00204,1707,32.7,55818.9,2025-11-05,2025-11-16,,Open,
PO000162,SUP016,PROD00301,1361,668.12,909311.32,2026-05-27,2026-06-03,,Open,
PO000163,SUP013,PROD00255,2287,931.74,2130889.38,2025-06-09,2025-06-19,,Cancelled,
PO000164,SUP004,PROD00030,1991,675.28,1344482.48,2026-06-04,2026-06-14,2026-06-15,Delivered,
PO000165,SUP002,PROD00154,1437,816.28,1172994.36,2025-10-24,2025-11-07,2025-11-11,Delivered,
PO000166,SUP020,PROD00402,621,272.41,169166.61,2025-04-26,2025-05-29,,Open,
PO000167,SUP020,PROD00213,1876,208.76,391633.76,2025-04-30,2025-05-27,2025-05-27,Delivered,
PO000168,SUP020,PROD00215,2439,604.67,1474790.13,2026-01-01,2026-01-21,2026-01-21,Delivered,
PO000169,SUP002,PROD00154,1188,816.28,969740.64,2026-06-24,2026-07-02,,In Transit,
PO000170,SUP016,PROD00297,407,318.51,129633.57,2025-07-20,2025-07-25,2025-07-29,Delivered,
PO000171,SUP012,PROD00259,2145,555.69,1191955.05,2026-06-09,2026-06-20,2026-06-22,Delivered,
PO000172,SUP007,PROD00200,1801,583.68,1051207.68,2025-02-27,2025-03-19,2025-03-18,Delivered,
PO000173,SUP011,PROD00465,1462,1150.88,1682586.56,2026-01-14,2026-01-30,2026-01-31,Delivered,
PO000174,SUP002,PROD00329,2347,52.59,123428.73,2025-12-26,2026-01-04,,Open,
PO000175,SUP020,PROD00161,1752,1163.66,2038732.32,2025-03-31,2025-04-24,2025-05-14,Delayed,Raw material shortage
PO000176,SUP003,PROD00156,1746,159.1,277788.6,2026-03-30,2026-04-13,2026-04-16,Delivered,
PO000177,SUP007,PROD00025,901,92.55,83387.55,2025-05-23,2025-06-11,2025-06-10,Delivered,
PO000178,SUP010,PROD00350,2201,113.05,248823.05,2025-11-07,2025-12-10,,Cancelled,
PO000179,SUP016,PROD00358,2469,778.5,1922116.5,2025-12-10,2025-12-16,,Open,
PO000180,SUP004,PROD00424,1747,364.83,637358.01,2026-01-20,2026-01-26,2026-01-27,Delivered,
PO000181,SUP002,PROD00177,866,355.66,308001.56,2025-06-29,2025-07-12,2025-07-11,Delivered,
PO000182,SUP004,PROD00371,222,769.38,170802.36,2025-07-10,2025-07-21,2025-07-25,Delivered,
PO000183,SUP004,PROD00125,1948,514.4,1002051.2,2025-11-06,2025-11-20,2025-11-25,Delivered,
PO000184,SUP015,PROD00473,1279,919.5,1176040.5,2025-08-18,2025-08-28,2025-09-07,Delayed,Supplier production delay
PO000185,SUP004,PROD00128,1758,481.48,846441.84,2026-04-29,2026-05-05,2026-05-06,Delivered,
PO000186,SUP008,PROD00122,538,22.76,12244.88,2025-07-03,2025-07-15,2025-07-28,Delayed,Port congestion
PO000187,SUP016,PROD00066,323,406.99,131457.77,2025-10-11,2025-10-23,,Cancelled,
PO000188,SUP015,PROD00232,1106,803.0,888118.0,2026-01-06,2026-01-25,2026-01-28,Delivered,
PO000189,SUP017,PROD00008,1113,649.56,722960.28,2026-05-03,2026-05-24,2026-05-21,Delivered,
PO000190,SUP003,PROD00296,1938,250.91,486263.58,2025-06-16,2025-07-05,2025-07-07,Delivered,
PO000191,SUP013,PROD00376,1529,413.46,632180.34,2025-05-19,2025-06-03,2025-06-04,Delivered,
PO000192,SUP008,PROD00114,2219,1098.73,2438081.87,2026-03-06,2026-03-16,2026-03-17,Delivered,
PO000193,SUP019,PROD00309,437,967.5,422797.5,2025-03-20,2025-04-02,2025-04-01,Delivered,
PO000194,SUP013,PROD00486,1283,614.94,788968.02,2025-06-21,2025-07-09,2025-07-11,Delivered,
PO000195,SUP007,PROD00478,1534,304.57,467210.38,2025-10-05,2025-10-25,,In Transit,
PO000196,SUP010,PROD00393,638,981.78,626375.64,2025-04-09,2025-05-14,,In Transit,
PO000197,SUP008,PROD00397,2036,1005.19,2046566.84,2025-01-14,2025-01-21,2025-01-23,Delivered,
PO000198,SUP008,PROD00069,717,488.26,350082.42,2026-02-26,2026-03-08,,Open,
PO000199,SUP014,PROD00426,821,432.72,355263.12,2025-04-15,2025-04-23,2025-04-23,Delivered,
PO000200,SUP006,PROD00497,1936,1041.43,2016208.48,2026-06-23,2026-07-28,2026-08-06,Delayed,Customs clearance delay
PO000201,SUP003,PROD00296,1476,250.91,370343.16,2025-03-20,2025-03-31,2025-04-06,Delayed,Customs clearance delay
PO000202,SUP020,PROD00404,2497,675.94,1687822.18,2025-11-16,2025-12-15,2025-12-19,Delivered,
PO000203,SUP008,PROD00410,167,270.59,45188.53,2026-06-20,2026-06-30,2026-07-01,Delivered,
PO000204,SUP015,PROD00398,978,445.18,435386.04,2025-05-02,2025-05-15,2025-05-14,Delivered,
PO000205,SUP010,PROD00226,1790,227.64,407475.6,2025-11-11,2025-12-03,2025-12-01,Delivered,
PO000206,SUP020,PROD00451,1816,245.06,445028.96,2025-04-25,2025-05-15,2025-05-19,Delivered,
PO000207,SUP014,PROD00240,2479,923.92,2290397.68,2025-02-13,2025-02-21,2025-02-26,Delivered,
PO000208,SUP014,PROD00172,227,292.47,66390.69,2025-03-02,2025-03-14,2025-03-15,Delivered,
PO000209,SUP010,PROD00224,891,908.31,809304.21,2025-03-09,2025-04-05,2025-04-14,Delayed,Port congestion
PO000210,SUP004,PROD00127,421,123.52,52001.92,2025-07-24,2025-07-31,2025-07-28,Delivered,
PO000211,SUP020,PROD00037,1474,50.72,74761.28,2025-05-30,2025-06-25,,Open,
PO000212,SUP014,PROD00401,1040,326.55,339612.0,2025-12-27,2026-01-03,,In Transit,
PO000213,SUP003,PROD00492,2216,202.9,449626.4,2026-06-02,2026-06-21,2026-06-18,Delivered,
PO000214,SUP015,PROD00473,753,919.5,692383.5,2025-08-11,2025-09-01,2025-09-02,Delivered,
PO000215,SUP015,PROD00237,2115,971.39,2054489.85,2025-01-05,2025-01-26,2025-01-26,Delivered,
PO000216,SUP010,PROD00224,489,908.31,444163.59,2026-05-02,2026-05-31,2026-06-11,Delayed,Customs clearance delay
PO000217,SUP007,PROD00483,1787,1070.1,1912268.7,2025-07-05,2025-07-20,,Cancelled,
PO000218,SUP003,PROD00492,1337,202.9,271277.3,2025-08-08,2025-08-26,2025-08-24,Delivered,
PO000219,SUP001,PROD00370,2080,157.18,326934.4,2025-05-07,2025-05-19,2025-05-18,Delivered,
PO000220,SUP014,PROD00267,386,602.33,232499.38,2026-01-05,2026-01-14,2026-01-11,Delivered,
PO000221,SUP003,PROD00103,1921,208.13,399817.73,2025-12-02,2025-12-19,2025-12-20,Delivered,
PO000222,SUP019,PROD00477,1240,141.97,176042.8,2025-11-16,2025-11-28,2025-12-01,Delivered,
PO000223,SUP019,PROD00171,1998,760.19,1518859.62,2026-03-15,2026-03-23,,In Transit,
PO000224,SUP008,PROD00353,480,19.29,9259.2,2026-01-12,2026-01-19,2026-01-23,Delivered,
PO000225,SUP014,PROD00248,538,753.06,405146.28,2026-02-10,2026-02-22,2026-02-20,Delivered,
PO000226,SUP002,PROD00177,741,355.66,263544.06,2025-05-27,2025-06-07,2025-06-05,Delivered,
PO000227,SUP010,PROD00299,1437,145.84,209572.08,2025-03-08,2025-04-06,,Cancelled,
PO000228,SUP019,PROD00038,1705,143.2,244156.0,2025-07-25,2025-08-08,,In Transit,
PO000229,SUP017,PROD00193,2433,542.72,1320437.76,2025-05-06,2025-05-31,2025-06-21,Delayed,Supplier production delay
PO000230,SUP016,PROD00283,2034,883.17,1796367.78,2025-10-07,2025-10-18,2025-10-21,Delivered,
PO000231,SUP010,PROD00080,492,349.29,171850.68,2026-06-08,2026-07-04,2026-07-08,Delivered,
PO000232,SUP018,PROD00095,601,402.27,241764.27,2025-05-06,2025-05-20,2025-05-20,Delivered,
PO000233,SUP016,PROD00192,329,374.6,123243.4,2025-01-31,2025-02-06,,In Transit,
PO000234,SUP013,PROD00439,1617,662.84,1071812.28,2026-05-26,2026-06-15,2026-06-14,Delivered,
PO000235,SUP005,PROD00338,363,462.66,167945.58,2025-12-01,2025-12-13,2025-12-11,Delivered,
PO000236,SUP003,PROD00388,877,387.1,339486.7,2026-06-17,2026-07-09,2026-07-13,Delivered,
PO000237,SUP006,PROD00429,1121,124.27,139306.67,2025-10-28,2025-11-30,,In Transit,
PO000238,SUP014,PROD00377,1812,846.88,1534546.56,2025-12-18,2025-12-31,2025-12-28,Delivered,
PO000239,SUP013,PROD00286,1862,859.71,1600780.02,2025-05-02,2025-05-18,2025-05-21,Delivered,
PO000240,SUP004,PROD00373,1291,423.82,547151.62,2026-04-16,2026-04-21,2026-04-26,Delivered,
PO000241,SUP014,PROD00287,1643,610.4,1002887.2,2025-06-18,2025-06-30,2025-07-01,Delivered,
PO000242,SUP015,PROD00398,2318,445.18,1031927.24,2026-05-15,2026-06-06,2026-06-10,Delivered,
PO000243,SUP017,PROD00207,690,92.87,64080.3,2026-04-27,2026-05-30,,In Transit,
PO000244,SUP008,PROD00353,2470,19.29,47646.3,2026-06-03,2026-06-08,2026-06-12,Delivered,
PO000245,SUP007,PROD00163,1215,1159.69,1409023.35,2026-01-22,2026-02-10,,In Transit,
PO000246,SUP017,PROD00367,575,930.37,534962.75,2025-11-25,2025-12-14,2025-12-11,Delivered,
PO000247,SUP002,PROD00183,2441,769.17,1877543.97,2026-01-11,2026-01-21,,In Transit,
PO000248,SUP007,PROD00478,1447,304.57,440712.79,2025-01-28,2025-02-19,,Open,
PO000249,SUP012,PROD00458,1737,1094.23,1900677.51,2026-01-25,2026-01-31,2026-02-02,Delivered,
PO000250,SUP018,PROD00369,1064,850.08,904485.12,2025-12-26,2026-01-05,,In Transit,
PO000251,SUP013,PROD00229,318,214.72,68280.96,2025-08-29,2025-09-18,2025-09-16,Delivered,
PO000252,SUP012,PROD00185,2255,816.48,1841162.4,2025-11-09,2025-11-15,2025-11-12,Delivered,
PO000253,SUP003,PROD00396,2376,950.83,2259172.08,2025-11-30,2025-12-10,2025-12-13,Delivered,
PO000254,SUP018,PROD00130,2458,705.83,1734930.14,2026-06-12,2026-06-28,2026-07-02,Delivered,
PO000255,SUP018,PROD00437,1370,182.64,250216.8,2025-01-23,2025-02-07,2025-02-10,Delivered,
